,Job ID,Date,Company Name,Title,Location,Description,Level,Type,Functions,Industries,Solicitudes,Empleados,Quick Application,Emails,Visualizaciones,Recommended Flavor
0,2011662890,2020-10-15,Dufrain,Data Engineer,"Edinburgh, Scotland, United Kingdom","Data Engineer London, Edinburgh OR Manchester   We are Dufrain. We’re a market-leading Data Management, Analytics and BI consultancy with offices across the UK, working with some of the biggest names in the Financial Services industry. We are proud to be an agile, client focused consultancy where we all share a common goal.  As we continue to build and strengthen our capability, a number of exciting opportunities have arisen to join our market-leading Data Management and Analytics Consultancy. We are looking for dynamic individuals, with proven experience and strong technical skills to join our teams in our Edinburgh, London and Manchester offices.  What we offer you: Working as a Data Engineer at Dufrain you’ll have the opportunity to work with a creative and highly skilled team of consultants who have expertise in technical delivery, technologies and concepts in areas such as Data Storage, Data Ingestion, Data Integration, Data Warehousing, Data Preparation and Cloud Infrastructure. You will also have your own ‘people coach’ to guide and support you with your career journey with us. Dufrain offers an autonomous environment where you have opportunities to have access to training tools & technical community groups and provides multi sector and international client exposure.    Who we’re looking for: we are looking for Data Engineers who have a genuine interest of rich data and have experience on delivery that contributes to wider business outcomes and be able to concisely articulate to stakeholders and interested parties their role and solutions in a way that can be easily understood.   Essential Requirements: Strong cloud engineering experience  Skilled in multiple languages such as SQL, Python, Java, Scala, Julia Hands on experience of cloud platforms such as Azure, AWS & GCP - (Certified to practitioner level in at least one provider) Experience working with one or more of the tools - Spark, Kafka, Snowflake, Hadoop Experience working with both SQL and NoSQL foundational tools and databases such as Cassandra, MongoDB  Experience delivering multiple solutions using key techniques such as Data Modelling, DWH, Lakes, ETL, ELT, Virtualisation & Streaming Solid knowledge of development principles such as ETL, DWH & Streaming  Minimum 2 years’ experience as Data Engineer with previous experience in industry or as SQL developer Flexibility to travel to and work on client sites within the UK and occasionally Europe Excellent track record in executive stakeholder management and maintaining valuable relationships. Takes ownership and accountability for critical initiatives and deliverables both internally and for clients Awareness of current market trends in data having the ability to influence opinion and decisioning across the Data Management spectrum A passionate desire and attitude to learn new tools  What to do next: Please apply via the application link below. Once your application has been received a representative from the Dufrain Recruitment team will review your profile and inform you of the next steps.   Please note: The recruitment process will require any candidates that are shortlisted to complete an online technical assessment.",Intermedio,Jornada completa,"Tecnología de la información, Ingeniería","Servicios y tecnologías de la información, Banca, Servicio de información",54,51-200,False,,679,ACTIVELY_HIRING_COMPANY
1,2227320776,2020-10-30,Sopra Steria,User Researcher,"Edinburgh, Scotland, United Kingdom","Bring your User Research expertise to us and in return we’ll give you an amazing career with growth and learning opportunities. Come and work for one of the best kept secrets in I.T.  The companySopra Steria, European leader in digital transformation, provides one of the most comprehensive portfolios of end-to-end service offerings in the market: Consulting, Systems Integration, Software Development and Business Process Services. Sopra Steria is a trusted by leading private and public organisations to deliver successful transformation programmes that address their most complex and critical business challenges. The day jobCurrently looking for a User Researcher for a unique opportunity to work within an established project team. The successful candidate will be confident in applying team research methods in support of user research initiatives as well as identifying opportunities for methods improvement and development.   Responsibilities will include:Data analysis – Collects and analyses data related to people’s behaviours, needs, and opinionsGenerates insights – Supports synthesis of findings and the creation of insights, reports and presentations to inform decision making and drive actions at a project levelPrioritise requirements – Provides constructive challenge and enables effective prioritisation of requirements from user needs based on evidence from researchTools – Contributes to selection of the user research approaches for projects and initiatives and can plan and execute own user research activities as requiredCommunicate findings – Can synthesise and articulate research findings clearly and effectively. Identifies appropriate opportunities for publication and dissemination of research findings. Develops and shares practical demonstrations of research findings. Presents papers at conferences, contribute material of publication quality, and presents reports to clientsUsability tests – Can design and deliver usability testsResearch Ethics – Is able to follow a research ethics plan, and generate appropriate ethics documentation for a range of projects, understands the application of GDPR to the storage and use of participant information, and data privacyUser recruitment – Can recruit participants for project, taking into account diversity, appropriate samples and how best to address project team prioritiesUser Data Security – Stores participant information securely, using an established systemBuild empathy – Helps client and colleagues empathise with the user, through tools such as mental models/ empathy maps/ personas or user case studiesResearch Practice – Is confident working with a range of users, in different contexts, e.g. one-to-one interviews, workshops, focus groups, ethnographic research   Essential Skills: (Design and Technical Skills)Design for user needs – Is able to identify, describe and design for user needs, including a comprehensive awareness of accessibility needs and ensuring that user stories are well defined Prototype analysis – Is confident evaluating prototypes or designs of systems, products or services against the agreed usability and accessibility specifications. Can interpret and present results of evaluations and prioritises issues UX support – Has a solid understanding of core UX tools and techniques Design systems – Is able to interpret and understand design systems Design user experience – Understands and applies UX design learning Impact analysis – Plan and undertake analysis to help design decisions and understand their trade-offs Design Standards – Is confident working within pre-defined standards (e.g. legal, regulatory or design system criteria). Can contribute to the development of policies and standards related to design decisions and technology choicesAccessibility – Confident in applying accessibility criteria into designs and providing rationale and advice and guidance onto project and programmesInnovation – Is able to identify, capture and communicate innovation opportunities within individual and across different projects Desirable Skills:Team support – Providing peer review support for UX team. Team Assets – Ensures capture of relevant tools, techniques and templates into asset library. Supports with authoring of new materialEvents – Books and organises learning events for team and/or organisation. Individual expertise – Develop an area of personal expertise Reasons why you should apply to usWe’re big – really big. With that comes career growth opportunities - we offer excellent training, you’ll join a company where development and progression is actively encouraged and not just something we talk aboutWe have an enviable client list – we work with some of the biggest names out thereWe ensure our working environment is supportive and collaborative, everyone has a voice and all opinions count Our goal is to disrupt the market, not just follow the status quoSustainability is really important to us, in fact we are within the top 1% of companies worldwide tackling climate change and managing our emissions",Intermedio,Jornada completa,Tecnología de la información,Servicios y tecnologías de la información,30,Más de 10.001,False,,169,ACTIVELY_HIRING_COMPANY
2,2201826818,2020-10-22,Sword ITS,Data Engineer,"Aberdeen, Scotland, United Kingdom","Sword are a trusted partner to a significant number of Oil & Gas sector clients in the UK. Our Aberdeen based Energy Services team employs talented individuals who deliver Information Technology and Data Management solutions, leveraging the latest developments in systems and technology, whilst delivering a consistently first-class service to our customers. As the pre-eminent provider of Information Technology services to the Energy Sector in Aberdeen, we have an excellent opportunity for junior level Data Engineer to join our busy team on a permanent staff basis. Job Purpose Successful delivery of Power BI, especially in support of Citizen Developers, requires addressing frequent requests for new or additional data to be added to the Data Warehouse.  This role will help ensure the successful delivery of digital projects to the business by working closely with our customer's business including business analysts, the data architect and system owners to identify and prepare source data for use in the data warehouse. You will be required to: Understand, extract and transform data from a variety of source systems and load it into the enterprise data warehouse.Work as part of a technical team for digital analytic data delivery.Understand and participate in business and functional requirements to ensure data can deliver business value.Collaborate with fellow developers and business representatives to solve problems.Follow design and coding guidelines and offer suggestions for improvement.Review extract code and assist fellow team members in delivery.Document data extraction process. Education Graduate or equivalent in IT or science discipline preferred but not essential.Ideally you should have some oil and gas industry experience in an IT environment. Technical Skills Strong SQL knowledge and source data analysis skills and data modelling skills.Able to communicate with technical and the non-technical people.Hands-on experience in full ETL lifecycle:Source data analysis.Data development process.Data integration design.Dimensional data modelling.Demonstrable experience in extracting data from source systems and populating a data warehouse is essential.Experience in SQL Server 2016 TSQL, Analysis Services (preferably tabular to multidimensional).Experience with data visualisation tools, (Power BI) an advantage.Experience using TimeXtender Discovery Hub an advantage.Azure data lake, data factory and other applications on the Azure data platform an advantage.Big Data experience an advantage. Interpersonal Skills Confident, enthusiastic and strong communication capabilityTakes responsibility and delivers.A self-starter able to work alone and as part of a small team.  For a confidential discussion regards this opportunity please apply on-line in the first instance.",Sin experiencia,Jornada completa,"Tecnología de la información, Análisis, Consultoría","Servicio de información, Servicios y tecnologías de la información, Petróleo y energía",71,51-200,True,,325,ACTIVELY_HIRING_COMPANY
3,2284269209,2020-11-05,None,Data Scientist - Glasgow,"Glasgow, GB","Data Scientist – Glasgow  This advanced Software House are looking to recruit a Data Scientist who will be developing Microsoft Azure-hosted machine learning (SaaS) algorithms, the main aim of the role for the Data Scientist will be applying data mining techniques, carrying out statistical analysis and building high quality machine learning prediction systems integrated with their product. While a theoretical/academic knowledge of machine learning is important, our ideal candidate is someone who can translate this into real world solutions that deliver quantified business benefit. Core responsibilities for this Data Scientist role: Collaborate with the Product Owner, development team and other key stakeholders to define the roadmap, understand the role that machine learning / analytics has in achieving this roadmap and size the work appropriately.Work as an integral member of a Scrum team to deliver iterative functionality and enhanced data analytics.Take additional external data sources into their solution and extend the machine learning algorithms to improve our prediction models:Feeds of data from IoT devices / Azure IoT Hub and 3rd party cloud services.Data Mining.Data Analytics.Evaluation, selection and training of Machine Learning models within Azure.Development, Configuration and Deployment of Machine Learning models to Azure (as containers).Processing, cleansing, and verifying the integrity of data used for analysis.Doing ad-hoc analysis and presenting results in a clear manner to help inform product direction. Core skills & experienceExcellent understanding of machine learning techniques and algorithms.Proven ability to evaluate multiple machine learning algorithms against varying data sets and determine which algorithms will yield the best results.Knowledge of Azure Machine Learning SaaS-based services, including model selection, training, configuration and deployment.Experience displaying and analysing data using PowerBI.Experience with common data science toolkitsProficiency in using SQL for querying data.Good applied statistics skills, such as distributions, statistical testing, regression, etc. The role will appeal to an individual capable of working in a fast paced environment, the Data Scientist will have the initiative to approach challenges with enthusiasm and the ability to react to changes whilst maintaining a clear focus on the company objectives. Exceptional time management, communication and problems solving skills are a must. Keywords: Data Scientist, Azure, SaaS, Machine learning, algorithms, Data Analytics, Data Mining, Data analysis, SQL, PowerBI, Glasgow, Renfrewshire, Paisley, Scotland, Port Of Glasgow, Clydebank, Azure Send your CV to Bethany now – (url removed) or call (phone number removed)Please follow us on twitter @erinassociates for similar roles Erin Associates Ltd is acting as an Employment Agency in relation to this vacancy",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Dotación y selección de personal",None,None,False,,5,None
4,2264114504,2020-10-16,Experian,Data Scientist,"Glasgow, GB","Data Scientist  Castlight - Experian Digital   Location: Glasgow, Flexible  In Castlight - Experian Digital, we create powerful tools that allow our clients to gain insights into their customers and markets enabling safer and lower risk decisioning. We enable tooling around affordability and safe lending which ultimately helps end users. This section of the business is growing and we are in the unique position to collaborate directly with large clients in banking who are eager to consume our services, as well as combine Open Banking and other data with advanced class-leading data science products and classic bureau data.  Responsibilities  Develop and maintain data processes and models to support Castlight data products, e.g. CastScore, Income Insights and CaaS Create, review and maintain datasets for use in Castlight data products, e.g. manually classify CaaS training set data Continually learn and develop the knowledge and skills to process, manipulate and analyse data used in Castlight data products Work with data science colleagues to peer review and constructively challenge work done in the team Collaborate with subject matter experts outside the team to improve the customer experience and outcomes Work with clients to gather data requirements, execute proof of concept activities, and provide expertise to support the usage of Castlight data products Put Castlight’s vision of a safer financial world at the heart of every decision, consistent with Castlight’s People, Technology and Vision values   What Makes This Role Special  Affordability is a key topic in this challenging environment and as a provider of data services primarily around banking, affordability, and finance to other businesses we’re positioned to leverage Experian’s strong partnership with banks to make a genuine difference to real people in the country, and eventually internationally. Experian Digital regards Data Science as strategically important and is in a position of strong growth, and as such a positions in this team can achieve a high profile for performing individuals.  Could this role be for you?   Skills And Experience  Python for machine learning and data manipulation (sklearn, pandas, numpy, scipy, flask)  Docker/Kubernetes SQL for data access and retrieval Excel for data analysis Github for version control/collaboration Presentation and report writing  Why choose us?  Our colleagues’ health and wellbeing is a top priority for us, that’s why our reward, benefits and wellbeing programmes are designed so you can come to work feeling your very best self. Our benefits focus on health, money and lifestyle so you can tailor your benefits to your own personal needs. Whether it’s your physical and mental wellness, getting to work or planning for the future, we have a range of flexible options to have you covered!  Who are Experian?  We unlock the power of data to create opportunities for consumers, businesses and society. At life’s big moments – from buying a home or car, to sending a child to university, to growing a business exponentially by connecting it with new customers – we empower consumers and our clients to manage their data with confidence so they can maximize every opportunity.  For more than 125 years, we’ve helped consumers and clients prosper, and economies and communities flourish – and we’re not done.  Our 17,200 people in 44 countries believe the possibilities for you, and our world, are growing. We’re investing in new technologies, talented people and innovation so we can help create a better tomorrow.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Servicios financieros",10,Más de 10.001,False,,98,COMPANY_RECRUIT
5,2249308521,2020-10-11,Harnham,Data Scientist,"Glasgow, GB","DATA SCIENTIST   £60000 + BENEFITS  GLASGOW  PYTHON, SCALA, SPARK   A new and exciting role has come available to work with a global market leader within the financial sector. As a data scientist you will help develop, tune and test data pipelines for various profiles. You will have the opportunity to use market-leading technology, using python, scala and spark.  The Company  As a data scientist you will sit within the financial crime analytics and data science team of one of the largest financial companies in the U.K. They are a dedicated and hardworking team that believe in service, and excellence.  THE ROLE   You will be working simultaneously with the financial crime and technology teams to assist with the execution of Quantexa capabilities as well as assisting with the development, tuning, and testing of data pipelines. You will develop, configure, and redesign these data pipelines using Scala and Spark. In addition, you will work closely with stakeholders across financial intelligence and global investigators.  Your Skills And Experience  The successful candidate will have the following skills and experience: Experience building analytic pipelinesExperience working with python and pysparkExtensive hands on programming experience of Scala and Spark  The Benefits  The successful Data Scientist will receive, depending on experience, a salary of up to £60,000  How To Apply  Please register your interest by sending your CV to Georgina Garraway via the Apply link on this page.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Marketing y publicidad, Software, Servicios financieros",None,51-200,False,,4,ACTIVELY_HIRING_COMPANY
6,2155701772,2020-10-15,MBN Solutions,Data Scientist,"Edinburgh, Scotland, United Kingdom","Data Scientist – Edinburgh £45,000 - £60,000 + Comprehensive Benefits  MBN are partnering with a global leader in the development and delivery of software products to the Oil & Gas sector. The organization have an impressive array of international clients who they provide with state of the art engineering software products fueled by machine learning & AI. The business are looking to expand their data science team by appointing a Data Scientist with a keen interest in developing and deploying machine learning algorithms within an engineering & physical context. These models help optimise the management of oil & gas fields using real time data and predict failure across multiple engineering products contributing to positive environmental impacts. Key skills & experience required: Commercial experience creating and developing machine learning algorithms (use cases across Supervised & Unsupervised methods as well as Classification/Clustering techniques)Strong programming skills across Python, R or C++ as well as an understanding of opensource frameworksThe ability to manipulate large and deep data sets using SQL and create interactive dashboards using Tableau (or equivalent BI tool) highly advantageousEffective communicator, able to work alongside engineering teams as well as other stakeholders and explain the benefits of the models from a business and technical concept.MSc or PhD qualified preferentially across Computer Science, Engineering Physics or Mathematics Machine learning * Data Science * Python * Engineering * Deep Learning * Artificial Intelligence﻿For more information or to apply, please send your updated CV to Kris@mbnsolutions.com",Intermedio,Jornada completa,Tecnología de la información,Servicios y tecnologías de la información,379,11-50,True,Kris@mbnsolutions.com,1361,ACTIVELY_HIRING_COMPANY
7,2252754733,2020-10-08,Jefferson Frank,Data Scientist,"Edinburgh, GB","Data Scientist - Edinburgh, £45k  My client is looking to add a Data Scientists to their already strong team as they have secured more project work with their clients within the banking and finance space.  The Company  The company are one of Scotland's leading consultancies with an ever-growing client portfolio. They have a strong workplace culture and really pride themselves on their people first culture. This is a great time to join them as a company as they grow their technical team with multiple different growth avenues to explore.  This is a great job for those looking to advance their technical skill set and work on a wide range of project work. The current project work is predominantly within the banking and finance sector but there is always scope to consider those that have come from other industry backgrounds.  Skills & Qualifications  Python, R AWS, Azure Financial Modelling This is by no means a definitive list so even if you only have a few of the listed skills please get in touch as if this role is not a match there are plenty of others that could be.  Pay and Benefits  A Salary of up to £45,000 10% Performance Bonus Daily Expenses Private Health care 31 Days Leave For more information about the role contact Greg Jackson at Jefferson Frank (0191 243 5459) or email me(g.jackson@jeffersonfrank.com).  If this doesn't match up with what you are looking for please get in touch regardless, here at Jefferson Frank we are always looking to assist industry professionals in finding their next job.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Dotación y selección de personal, Recursos humanos",6,201-500,False,g.jackson@jeffersonfrank.com,52,ACTIVELY_HIRING_COMPANY
8,2279783936,2020-11-05,Duco,Data Scientist,"Edinburgh, Scotland, United Kingdom","LIFE IS TOO SHORT TO BE IN THE WRONG JOB.  That's always been true, but the events of 2020 have made many of us reconsider what’s really important to us.  Things like how we want to live and work in future, and how we don’t.  The kind of company we want to be with, and the kind we don’t.  The kind of work we love doing and will allow us to make a difference we can be proud of.  If you've been thinking along these lines, here’s what we can offer you...  An employer which puts people first: Our Glassdoor feedback shows that 91% of our people would recommend us as an employer, 93% approve of the CEO, and 83% consider we have a positive business outlook.  Why? Our culture is warm, vibrant and welcoming, and we actively look after everyone’s wellbeing. We believe diversity and inclusion aren’t an option but a commitment we’re proud to make.  We believe in communicating honestly and openly, whether the news is good or bad, and in giving trust and support.  We love exploring new ideas, trying out different things and asking questions.    A growing company with a bright future: At Duco, we help companies solve complex data problems with our uniquely fast and easy-to-use software. Our customers are some of the world’s top financial institutions, we’re backed by some of the best tech investors, and we’re growing fast, even in the current recession.   An exciting role with huge potential: We are looking for an NLP Data Scientist to help develop our quality, classification, information structure and natural language understanding.  We’re building a machine-learning-enabled company, and every major initiative is increasingly dependent on its successful application.  Duco’s Edinburgh team is at the nexus of this evolution, so we’re looking for someone who is excited about working at the intersection of machine learning and product.  A really good reward package: A starting base salary of £50 - 65K in line with your current level of experienceAn annual success-sharing bonus scheme so we can recognise your effortsShare options, so you reap the long-term rewards of helping make Duco successfulUnlimited holiday, because we trust our people to manage their own time offFlexible working options: you can choose to work from home, at the office, or both - whatever's good for you, and we’re relaxed about working hours as long as you’re delivering what’s needed Personal learning and development opportunities Spot rewards, so we can say thanks when you do a really great bit of workHealthcare and eyecare schemesPension scheme with 5% employer contributions Cycle to work and tech purchase schemes Employee Assistance Programme, for extra support when life gets a bit hard  This is what you’ll be doing: Developing machine learning models for data schema understanding and fundamental NLP problems such as recognition and classificationParticipating in the engineering life-cycle at Duco including writing ML modelling code and conducting code reviewsWorking alongside our product management, engineering and infrastructure teams to integrate your models into Duco’s product offering.Devising metrics and evaluation processes for the performance and impact of your models  This is who you’ll be working with:The Head of Data Science (who will be your manager)A great team of Data Engineers, Research Scientists, and Developers  Where:Anywhere in the UK, as long as you are able to attend our Edinburgh office for meetings when required.  This is what you'll need to be successful: A keen interest in and experience of natural language processing, including syntax analysis, abstract syntax trees, semantics, ontology, word embeddings, learning vocabularies from text, program management, statistics or any combinationAbility to quickly prototype ideas, perform analysis, test and leverage approaches for solving complex problemsExperience with software engineering best practices (e.g., unit testing, code reviews, design documentation)Knowledge of core CS concepts such as data structures, algorithms, and optimisationExcellent communication and collaboration skills, a pragmatic approach to problem- solving, and a strong quantitative backgroundRelevant qualifications in machine learning with a focus in NLP, or equivalent work experience in the field leveraging libraries such as pyTorch, scikit-learn or keras  Bonus points if you also have: Experience with large scale machine learning pipelines and relevance infrastructureExperience with large datasets and modern data processing systems such as Dask and HadoopExperience with deep learning and TensorFlowExperience with Knowledge Graphs Please note: we review all applications with genuine interest, and we're happy to support people in developing their full potential.  We’re not necessarily looking for ‘the perfect candidate’ with vast experience, gold medals and superpowers, so apply even if you don’t have all the above!  Closing date: The final closing date for applications will be Friday 04 December 2020. A final note about COVID19: Since March we have been helping to keep everyone safe by switching to remote working. Interviews will therefore be held by videoconference and new joiners are onboarded remotely. Just so you know. :-)",Intermedio,Jornada completa,"Ingeniería, Tecnología de la información",Software,25,51-200,False,,171,ACTIVELY_HIRING_COMPANY
9,2249373089,2020-11-05,Accenture UK,User Researcher - Newcastle,"Glasgow, GB","User Researcher - Newcastle  Location: Newcastle Upon-Tyne  Salary: £28,000 - £48,000  Career Level: (Accenture will be recruiting at the following levels: Senior Analyst, Consultant)  Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. With our thought leadership and culture of innovation, we apply industry expertise, diverse skill sets and next-generation technology to each business challenge.  We believe in inclusion and diversity and supporting the whole person. Our core values comprise of Stewardship, Best People, Client Value Creation, One Global Network, Respect for the Individual and Integrity. Year after year, Accenture is recognized worldwide not just for business performance but for inclusion and diversity too.  “Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and with the communities in which we work and live. It is personal to all of us.” – Julie Sweet, Accenture CEO  As a User Researcher you will work with a team of creative and passionate UX Design specialists who are responsible for creating user-centred designs for digital products and services.  This is a great opportunity to work across multiple different clients in a range of industries. As a member of our close-knit UX and Design team, you will champion the value of User-Centred Design across all products and services as part of delivery best practice.  As a User Researcher, you will:  Plan, design and conduct user research sessions to support the design and development of client services and products  Lead the research process from developing user recruitment briefs through to conducting sessions remotely or face-to-face, session analysis, report writing and playback to your team  Collaborate with product owners and service managers to devise appropriate research strategies that will generate focused insights  Convert concepts and emerging findings into high quality stimulus material  Work closely with designers and developers to turn user data and insights into actionable requirements that feed into prototype development, and influence product direction  Work as a part of Agile delivery teams and possess the hard and soft skills required to participate in design and delivery and be able to identify and progress client issues  Work closely with our UX & Design Team, to share knowledge, learn new skills, and design transformational services    Set yourself apart:  Relevant experience as a User Researcher  You have worked as part of an Agile Scrum team  You are always comfortable advocating for your users, and helping your team and stakeholders navigate a user-centred design process  Some experience working with GDS standards would be beneficial but not essential   What’s In It For You  At Accenture in addition to a competitive basic salary, you will also have an extensive benefits package which includes 30 days’ vacation per year, gym subsidy, private medical insurance and 3 extra days leave per year for charitable work of your choice!  Flexibility and mobility are required to deliver this role as there will be requirements to spend time onsite with our clients and partners to enable delivery of the first-class services we are known for.   About Accenture  Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries — powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 509,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com  Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, or gender identity, or any other basis as protected by applicable law.  Any offer of employment is subject to satisfactory BPSS clearance being obtained  Closing Date for Applications 31/12/2020  Accenture reserves the right to close the role prior to this date should a suitable applicant be found.",Algo de responsabilidad,Jornada completa,Tecnología de la información,"Servicios y tecnologías de la información, Software, Servicios financieros",4,5001-10.000,False,,56,ACTIVELY_HIRING_COMPANY
