,Job ID,Date,Company Name,Title,Location,Description,Level,Type,Functions,Industries,Solicitudes,Empleados,Quick Application,Emails,Visualizaciones,Recommended Flavor
0,2168496050,2020-10-28,New Work SE,Senior Data Scientist,"Barcelona Area, Spain","XING is the social network for business professionals with millions of members all over the world. Help us shape the future – for a better working life!   We currently have an opening  in Barcelona for a Senior Data Scientist. Our Data Science team is responsible for turning data into services and products for XING. We bring state-of-the-art algorithms into production by making use of technologies such as Hadoop (e.g. Hive, Spark), Akka, Kafka, Cassandra, elasticsearch, etc. Learn more about our team at: https://bit.ly/data-science-team    We are seeking a Data Scientist who helps with designing algorithms/models and implementing these algorithms/models into production services. If you want to get things done rather than sit in meetings, like helping others and learning from them, you will have fun in our team!     A challenging taskSolve challenging problems in the context of search, recommender systems and machine learning Perform analyses on massive amounts of data and build scalable machine learning models, ranking algorithms and help automating machine learning processes Develop new and enhance algorithms and services using technologies such as Scala, elasticsearch, and Hadoop technologies (e.g. Hive, MapReduce)    A convincing backgroundMSc or PhD in Computer Science or similar discipline Hands-on experience in analyzing large datasets (e.g. with SQL, Python, R, Hive, etc.) Theoretical and practical knowledge in information retrieval or machine learning Practical working experience in implementing (scalable) models and algorithms which process large datasets Programming skills, preferably in Scala or Python Proficient English language skills (German is not required)    An inspiring environmentCheck our Twitter account! https://twitter.com/NewWork_es Training, conferences and many opportunities to learn, experiment and grow. Innovation weeks (Hackweeks) Flexible working hours and remote flexibility Restaurant tickets, coffee and snacks. Spanish / English/ German lessons. A mobile device of your choice as well for private use (iPhone, iPad, Android…). A great, multicultural and diverse environment. A sunny office located in the centre of Barcelona, with a large terrace. Flexible Compensation Plan: Health insurance/ Transport/ Nursery Tickets Extended holidays Competitive salary and a Permanent contract Bicycle park and package reception Relocation pack if needed.   We're looking forward to hearing from you!",Intermedio,Jornada completa,"Tecnología de la información, Ingeniería, Otro",Internet,252,None,True,,896,ACTIVELY_HIRING_COMPANY
1,2011388789,2020-11-05,Deporvillage.com,Data Scientist,Barcelona y alrededores,"Deporvillage is one of the biggest european e-commerce companies that is a market leader in its sector.We are handling millions of page views and thousands of orders per day, for this reason, we have to be smart with data and build the best recommendation systems for our customers. If you want to be part of a team which is using dynamic methodologies, with cutting edge technologies and a collaborative sense, then this job is made for you! At Deporvillage, You WillImplement, test and apply predictive algorithms by using machine learning and statistical models which will help Deporvillage to create customizable content.Create forecasting models and recommender designs.Be the first engineer within our data science team. For this reason we expect you to advocate new data lake architecture, create best practises and standards.Interact with cross-functional teams such as engineering, infrastructure, product, marketing among others. Use Agile methodologies oriented towards quarter OKRs.Be our data-driven hero! What we expect you to bring+3 years experience as a data scientist/analyst engineer, specially in a e-commerce industryExperience with statistical software such as R or Python for data mining, manipulation and performing exploratory analysis.Ability to write advanced queries in SQL.Strong knowledge of data structures.Having a working knowledge of Big Data technologies such as Spark or Redshift.Experience in A/B testing.Hands-on experience with cloud platforms mindsets, ideally AWS and orchestrate resources via Terraform.Solid engineering workflows, such as CI/CD. Test, automate and monitor everything! Ownership and commitment words are mandatory for us.Eager to learn, improve methodologies and adopt new technologies. Empathy and team player is a must  What We OfferData to ingest and modelingModern tech stack that leverages AWS, Kubernetes, Docker, MongoDB, Elasticsearch, GoLang and so onA young and dynamic working environmentThe opportunity to be part of a successful e-commerce company with above-industry-average growth. Financial Times top 500 growing companies in EuropeCompetitive salary based on experiencePermanent contractFlat hierarchy and open communicationFlexible working hoursTax-free benefits (ticket restaurant, kindergarten and transport)",Intermedio,Jornada completa,"Tecnología de la información, Ingeniería","Internet, Artículos deportivos, Deportes",775,None,True,,3010,JOB_SEEKER_QUALIFIED
2,2215524912,2020-10-27,BBVA,Data Scientist,"Madrid, Madrid, España","Our team works with different business units (global and local), developing data-based products in order to generate actionable business insights and client-centered complex solutions. We apply a wide range of data tools like statistical analysis, machine learning, recommender systems, NLP, graphs, data visualization, etc. We interact daily with our business partners and participate in the management of data projects. Job descriptionAs a member of the data insights team, you will work with different business units within the bank, helping them develop data-based products, and deriving actionable insights from data. You will also use your communication skills to share the results of your analyses with all relevant parties. Key responsibilitiesCollaborate with key internal and external stakeholders to gather and understand needs and requirementsConstruct and manipulate large datasets, and apply creativity in developing solutions using query and/or math-oriented programming languages.Design and implement robust analytic solutions ranging from basic statistical analysis to advanced machine learning / artificial intelligence algorithms to cover the identified needs.Collaborate with IT teams to convert analytical proof of concepts into productive modules.Create and deliver written reports with your findings, formulate recommendations, and effectively present your conclusions to analytic and non-analytic audiencesRepresent your findings in the most convenient format for their effective consumption by internal and external customers Required Skills and ExperienceTo be considered for this exciting addition to our team, candidates must meet the following requirements:Experience in constructing analytic solutions to business problems, including:Statistical analysisMachine learning techniquesRecommender systemsText miningOptimizationGraph analyticsProgramming experience with math-oriented languages: Python (others are also considered)Experience working with large datasets in Big Data environments: Spark (PySpark)Experience with main data science-oriented Python libraries (Numpy, Scipy, Pandas, Scikit-learn, TensorFlow/Keras, …).Ability to represent and summarize data and conclusions using visualizations libraries (matplotlib, plotly, bokeh, orothers…)Excellent programming skills and experience developing production-quality softwareStrong business sense to put data in perspective, and extract meaningful conclusionsExcellent communication skills to effectively present results to both analytic and non-analytic audiencesProactivity and ability to work with minimum supervision towards the defined goalsNatural inclination for sharing findings and engaging in problem-solving with teammates, helping them with their challenges, and asking for their help when needed.Advanced level of English. Preferred QualificationsWorking knowledge of the financial industry products/services and operations5+ years of professional experience (data scientist, business intelligence, consulting…)MSc/ PhD in a relevant field such as Statistics, Computer Science, Applied Math, or other related subject will be valued positively.",Intermedio,Jornada completa,"Ingeniería, Otro, Finanzas",Banca,503,None,False,,3368,COMPANY_RECRUIT
3,2010779052,2020-10-26,Pix4D,Junior Data Scientist - R&D Engineer,"Madrid, ES","Description  We are looking for a curious and talented Junior Data Scientist - R&D Engineer to join our growing team in Madrid.  You will be part of a skilled and distributed Analytics Team with expertise in ML/DL and your task will be to support the design, prepare, evaluate, and implement data analysis pipelines based on computer vision and Machine Learning techniques that will be integrated in Pix4D products and have a direct impact on our clients. The ideal candidates will demonstrate skills in data analysis with preference for candidates that demonstrate competencies in ML algorithms and Deep Learning Image Processing, or classical Computer Vision algorithms. Software development experience is required, as you will be expected to contribute to production level code.  Responsibilities  Participate in data labeling campaigns Support the implementation and maintenance of algorithms for 2D (images) and 3D (point clouds) data processing Engage in the full product life-cycle from early concepts and prototypes to full deployment Work as part of a distributed team and engage in technical discussions in a creative, interactive and dynamic team-based environment Actively participate in the team and company’s agile processes   Requirements  Experience with data analysis techniques based on the python ecosystem (e.g. numpy, scipy, matplotlib, pandas). Expertise in C++ is a plus. It is assumed that the candidate will be able to learn C++ quickly when/if needed. A STEM curriculum/background is ideal. A Master or similar level degree in the fields of computer science, information science or engineering. A general understanding of the working of DL and ML systems Experience in computer vision and image processing (using packages such as OpenCV) is a plus Perfect fit with Pix4D’s spirit: passionate, positive, collaborative and respectful attitude   PLEASE SUBMIT YOUR APPLICATION IN ENGLISH  Benefits  Some points listed below involving interactions with others are temporarily suspended due to the covid situation.  Permanent contract in a growing international company Well-located office close to Nuevos Ministerios to enjoy Madrid! Cool and modern workplace where you can just relax and enjoy! Flexible working hours (40h/week) and remote work possibility Development opportunities to boost your career! Team-building activities Company event once a year in Lausanne (Switzerland) with Pix4Ders from all offices where we share information, play, eat and party together! Weekly thematic conferences (business, marketing, technology, environment & sustainability …) to build your network and keep learning Free seasonal fresh fruits, infusions, hot drinks and cookies Weekly free healthy and gourmand breakfasts Happy hours with free drinks, events, board games and other fun activities Free yoga classes Discounts for physiotherapy & massages, manicure, health & wellness sessions, and other services Music band composed of Pix4Ders so we can play rock music together!   Working environment  Pix4D is a unique, fun, and intellectually stimulating company where you can grow and excel in your field. Our environment is authentic and multicultural, a place where we respect and learn from each other in the pursuit of being the best at what we do. Get more information here.  Company  Pix4D is a developer of cutting edge software that converts images taken by hand, drone, or plane into survey-grade accurate and georeferenced 2D mosaics, 3D models and point clouds. Founded in 2011, Pix4D is rapidly expanding from its headquarters in Lausanne, Switzerland, to offices in Denver, San Francisco, Berlin, Shanghai, Tokyo and Madrid.  Pix4D technology enables lightweight civilian drones to become mapping and surveying tools for 3D reconstruction of any changing environment. It forms the base of many cloud-processing solutions and is used by thousands of professionals worldwide on desktop (Windows, OS X, Linux) mobile (iOS and Android) and cloud environments.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Internet",1123,None,True,,5234,None
4,2011776431,2020-10-06,ECB Engineering Firm,Data Scientist - Machine Learning,"Toledo, Castilla-La Mancha, España","En ECB Engineering Firm nos dedicamos a la búsqueda, identificación y selección de profesionales altamente cualificados, especializada en perfiles técnicos en medios y altos cargos para la industria de Ingeniería, Tecnología y Logística. Somos una multinacional con presencia en diferentes países del mundo, con capacidad para la gestión de proyectos en los 5 continentes. Estamos buscando un perfil de Data Scientist para uno de nuestros clientes, una FinTech líder en soluciones innovadoras para procesos de cobro. La persona seleccionada formará parte de un equipo ya conformado por profesionales con diferentes especializaciones relacionadas con el análisis de datos. Se encargará de la creación de modelos de Machine Learning para la mejora de la gestión del recobro, orientado a las necesidades de los diferentes clientes. ¿Qué necesitamos?Formación en Matemáticas, Estadística o Informática.Experiencia de al menos 1 año en rol similar.Conocimientos en Python y/o R, SQL y en implementación de modelos predictivos.Valorable disponer de experiencia trabajando en entorno Cloud, así como de conocimientos sobre herramientas ETL. ¿Qué ofrecemos?Incorporación directa en la plantilla de nuestro cliente, siendo una oportunidad estable.Condiciones de horario flexibles, bajo una organización del trabajo orientada a objetivos.",Algo de responsabilidad,Jornada completa,"Finanzas, Tecnología de la información",Dotación y selección de personal,403,None,True,,1213,JOB_SEEKER_QUALIFIED
5,2246373785,2020-11-05,Cabify,Junior Data Engineer,"Madrid Area, Spain","En Vecttor (empresa del grupo Maxi Mobility), queremos seguir contribuyendo a mejorar las ciudades donde operamos.A través de la gestión directa de una flota de más de 1800 vehículos y más de 1000 drivers, ayudamos a transformar la manera en la que nos movemos en ciudades como Madrid, Barcelona, Sevilla y Valencia. Es por todo esto que, para conseguirlo, necesitamos reforzar nuestro equipo de HQ, queremos incorporar a un Jr. Data Engineer que nos ayude, integrado en el área de Tecnología, a seguir innovando y mejorando. Para que entiendas con más detalle lo que buscamos, es importante que sepas lo quenecesitamos de ti en el día a día…Entiendes la estructura de datos presentada, sabes transformarla y manejarla para cumplir con los plazos de todos los proyectos.Identificas correctamente todas las fuentes de datos de las diferentes áreas de negocio.Eres capaz de manejar los datos brutos obtenidos de distintas fuentes y prepararlos para procesarlos a través algoritmos avanzados.Te desenvuelves con soltura con aplicaciones ETL.Utilizas Python para el manejo de datos (scripting language) También es importante que poseas esta formación, background y estas hard & softskills…Graduado en Ingeniería Informática, Ingeniería de Telecomunicaciones, Física,Matemáticas o Ingeniería de Datos.Que te sientas cómodo obteniendo raw data de diferentes fuentes y estructurándolos correctamente.Que seas eficiente en entornos ágiles.Que te diviertas trabajando en equipo.Que seas capaz de involucrarte en el proyecto y lo sientas como tuyo.Un espíritu emprendedor.Experiencia en plataformas Cloud (Microsoft Azure preferiblemente)Experiencia con POWER BI o similares.Experiencia en desarrollo de apps. Y para entrar en detalles sobre tus futuras funciones, necesitamos que cumplas conestos puntos:Entender todos los aspectos del manejo de datos que requieren de conexiones entre muchas y diversas fuentes de datos.Operar con bases de datos relacionales (SQL), desde la configuración del servidor hasta el desarrollo y mantenimiento del modelo/esquema.Nivel Avanzado de excel, con habilidad para configurar y ejecutar macros, además de otras funciones avanzadas necesarias.Realizar operaciones simples en plataformas Cloud, poniendo foco sobre todo en la introducción y recuperación de datos.Escribir scripts en Python o R para la limpieza y manejo de datos, además de realizar tests.Organizar todo tipo de datos en diversos formatos.Interaccionar y colaborar con los IT business partners para obtener/proveer datos en función de las necesidades.Trabajar muy cerca del resto de equipos de la compañía para integrar nuevas ideas y métodos en los sistemas de la compañía.Respaldar las decisiones propias de negocio a través de análisis tan específicos como se necesiten.Ser capaz de trabajar en entornos ágiles, cambiantes y multidisciplinarios, adaptándote al cambio rápido y con una actitud positiva. Aquí te resumimos los requisitos básicos/mínimos de la posición:Graduado en Ingeniería Informática, Ingeniería de Telecomunicaciones, Física, Matemáticas o Ingeniería de Datos.Formación en configuración de bases de datos.Alta capacidad de aprendizaje.Interés por estar continuamente actualizado/a en nuevas tecnologías y técnicas relacionadas con entornos ricos en gestión de datos.Muy buen manejo de Python, SQL y noción de las mejores técnicas enarquitectura de datos. Y para terminar, te contamos lo que ofrecemos:- Un ambiente dinámico en un proyecto en continuo crecimiento.- Muchas posibilidades de trabajo (lo que nos importa es que trabajes a gusto)- Remuneración flexible opcional (tickets restaurante &amp: seguro médico)- Unas nuevas oficinas brutales (y que seguiremos mejorando para que sean mucho más top) con buen acceso en transporte público. Es muy importante que adjuntes tu CV para que podamos valorar tu candidaturapara el puesto.Si crees que puedes encajar, ¡Solicita y te contactamos!",Algo de responsabilidad,Jornada completa,"Ingeniería, Análisis",Internet,146,None,False,,830,ACTIVELY_HIRING_COMPANY
6,1852916810,2020-11-08,Devoteam,ES - Data Scientist.,"Madrid, ES","Descripción de la empresa  Súbete a la nube con Devoteam Cloud! La Digitalización es un proceso imparable en las empresas y nosotros somos pioneros en liderar este cambio, nos identificamos por ser emprendedores en tecnologías y hoy somos referencia en la Revolución Digital. Nuestra filosofía 'One Team', es la clave de nuestro éxito, la Formación y las Certificaciones son esenciales para el buen desempeño de nuestros consultores, más de 6700+ especialistas en Devoteam trabajan para acompañar a las empresas en su Transformación Digital en los 18 países donde estamos presentes. Devoteam es uno de los principales Partner de Google en Europa, te animo a conocernos y a escuchar las oportunidades que tenemos para tí, diviértete y desarrolla tu carrera en Devoteam de la mano de Google!  Descripción del empleo  Perfil experto en desarrollos de algoritmos matemáticos de prevención de riesgos en Python. Perfil Desarrollo y modelado de datos en Entornos Data Scientist. Modelos deterioros de cliente, fraude, modelos Dechow.  Experiencia contrastada en la gestion de proyectos de sistemas de información de Riesgo de Crédito/Finanzas/Capital SCIB. Conocmiento en métricas de gestión y regulatorias.  Requisitos  Conocimientos intermedios en:   MySQL PostgreSQL Python UNIX Shell  Información adicional  En Devoteam estamos comprometidos con la igualdad de oportunidades de empleo sin importar raza, color, religión, sexo, origen nacional, orientación sexual, edad, ciudadanía, estado civil, discapacidad, identidad de género.  El Respeto, la Pasión y la Transparencia son clave y forman parte de nuestro ADN.  Si te identificas con nuestros principios, y te motiva trabajar en un entorno digital, multinacional, colaborativo, joven y divertido, solo tienes que enviarnos tu CV!!",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Dotación y selección de personal",725,None,False,,3940,COMPANY_RECRUIT
7,2243563691,2020-11-04,Glovo,Data Scientist,"Barcelona, ES","About Glovo  We’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Hispanic America and Africa. With food at the core of the business, Glovo delivers any product within your city at any time of day.  Our vision and ambition are not only to make everything immediately available in your city but it is also to offer our employees the job of their lives. A job where you'll be challenged and have the most fun working in through tech-enabled experiences.  Your Work-life Opportunity  Glovo is looking for world-class Data Scientists to work in our Barcelona office. Are you passionate, proactive, data-driven and hands-on? Do you want to evolve in one of the fastest growing startups of Barcelona, building a product that will change people's day-to-day lives and disrupt the on-demand market?  Be a Part Of a Team Where You Will  Develop, test and productionize predictive algorithms by using state of the art machine learning algorithms and statistical models Evaluate algorithms through controlled offline (e.g. cross validation with holdouts strategy) and online experiments (e.g. cross validation, A/B testing) Contribute to one or more of the following areas: time series analysis & forecasting, A/B testing, customer analytics, personalisation & recommender design as well as operational research & optimisation Design experiments and interpret the results to draw detailed and actionable conclusions Create dashboards and reports to regularly communicate results and monitor key metrics Work in cross-functional teams across disciplines such as product, engineering, operations, marketing amongst others   You Have  Research and development experience in industry or academia. Holds at least an MSc, and preferably a PhD in a scientific discipline such as Physics, Statistics, Computer Science or Mathematics Deep theoretical and applied knowledge in at-least one of the following areas: supervised and unsupervised learning, deep learning, reinforcement learning, game theory, statistical inference, bayesian statistics, causal inference, time series analysis, decision theory, mathematical optimisation Experience working with large data sets will be a plus Python and/or R experience:: can independently prototype solutions to problems Experience with big data technologies (e.g. Scala and Spark) and AWS is desirable Command line skills Strong presentation skills in communicating with experts and novices Fluent spoken and written English   Experience Our Glovo Life Benefits  Enticing Phantom Shares plan Attractive Relocation package (if applicable :)) Comprehensive Private Health Insurance Cobee discounts on kindergarten, transportation, and food Free monthly Glovo credits to spend on our restaurant products (and zero Glovo delivery fee on all Glovo orders!) Cool perks such as fresh fruit and healthy snacks every day, beers on Fridays, Culture Days every 2 months! Discounted Gym memberships Flexible working environment   What You’ll Find When Working At Glovo  Gas: We work hard with energy and passion for what we do. Care: We act in the best interest of a sustainable future. Good vibes: We always see the positive side in every situation and act with fairness and honesty with everyone. Stay Humble: We embrace mistakes and feedback to learn from them. Glownership: We roll up our sleeves and get work done no matter our position and level.  If you believe you match these values, we look forward to meeting you!  Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee. As of September 30, 2019, we’re currently present in more than 26 countries across Europe, Latin America, Africa, and Asia.  For additional information on Glovo, please visit https://glovoapp.com/ | Twitter: @Glovo_ES | Facebook: https://www.facebook.com/glovoappES/ | LinkedIn: https://www.linkedin.com/company/glovo-app/",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Marketing y publicidad, Software, Internet",79,None,False,,544,ACTIVELY_HIRING_COMPANY
8,2155702851,2020-10-15,MBN Solutions,Games Data Scientist,"Barcelona, Catalonia, Spain","Games Data Scientist50,000-70,000 Euros + Benefits + Relocation OptionsBarcelona MBN is currently partnering with a world-renowned Games Development company in search of several Data Scientists to join their newly established team in Barcelona. This role will work closely with stakeholders and analytics teams to analyse data, identify trends, and highlight opportunities in games. The Game Data Scientist will manipulate and analyse large datasets that represent player behaviour and turn this into insights for game design. Remote working options are available at this time also, but the successful candidate will be required to move to Barcelona when ready to further integrate with the team. Previous experience working within the Games sector is essential. Candidates without experience within the industry, unfortunately, cannot be considered at this time. RESPONSIBILITIESProviding actionable recommendations from game data to shape game features and future productsWork with internal departments to drive insight that will help produce better mobile games Building automated dashboards and reports resulting in the understanding of key business metrics and player’s experience to the entire business. REQUIREMENTSProven experience, preferably for in Mobile Gaming or within the Games industrySQL skills with experience in querying large data setsVisualisation skills (experience working with Tableau or similar tools)Ability to turn complex concepts into actionable recommendationsAdvanced knowledge in statistical tools and models such as R and Python is an advantageA passion for the gaming industry and a desire to understand players gaming behaviour",Intermedio,Jornada completa,"Análisis, Tecnología de la información",Videojuegos,366,None,True,,1283,ACTIVELY_HIRING_COMPANY
9,2270562595,2020-10-21,Grupo Digital,Data Scientist - Madrid,"Madrid, ES","Buscamos  Un Data Scientist para uno de nuestros clientes en MADRID  CIENTIFICO de DATOS  Experto para participar en un proyecto directamente con el CLIENTE para añadir al modelo actual las nuevas clasificaciones creadas en el sistema de Oficina Inteligente., a fin de que sea el sistema cognitivo el que clasifique mails y se proceda a su automatización de los mismos si el porcentaje de seguridad ofrecido por el sistema es suficientemente alto.  FUNCIONES  Revisión y carga de diccionarios, contrastarlos con los existentes y creación de nuevas relaciones en Watson Knowledge Studio (WKS). Creación de nuevos corpus: Revisión-agrupación de eMails por cada subproceso y limpieza, y su carga en WKS para conformar los sets de datos. Anotación de los sets de datos en WKS y entrenamiento del modelo tras cada inclusión de un nuevo sub-proceso. A razón de unos 600-700 emails por jornada de 8 horas, tomando como base de partida, un volumen de unos 5000 eMails en total. Despliegue de datos en Natural Language Understanding (NLU), conclusiones e informe.  REQUISITOS  Al menos 3 años de experiencia en analítica avanzada de grandes volúmenes de datos y de inteligencia artificial  Data science, Analítica avanzada (predictiva y prescriptiva) de volúmenes masivos de datos (Big Data Analytics) Conocimiento de Watson NLU DBMS: Oracle (PL/SQL), MySQL, Postgres... Uso avanzado de algún lenguajes de programación (R o Python, SAS, Matlab, SPSS, STATA, etc) Metodologia de trabajo WATERFALL   Formación  Titulación Superior en Estadística, Económicas, Matemáticas, Informática o Ingeniería Valorable Formación de postgrado en Inteligencia Artificial, Big Data y Machine Learning.  Ubicación: MADRID  Inicio: 03 Noviembre 2020  Sobre GRUPO DIGITAL  Somos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría...  Si estas buscando un nuevo reto, que te brinde crecimiento profesional y personal basado en la consecución de objetivos y reconocimiento laboral, esta es tu oportunidad.  Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. Te esperamos!",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Telecomunicaciones",14,None,False,,136,None
