,Job ID,Date,Company Name,Title,Location,Description,Level,Type,Functions,Industries,Solicitudes,Empleados,Quick Application,Emails,Visualizaciones,Recommended Flavor
0,2227325187,2020-10-30,Asda,Data Scientist,"Leeds, GB","Job Advert  About The Role  We have an exciting opportunity for Data Scientists to join our team! In Business Services we deliver high quality back-office service and technology solutions across Finance, People, Contact Centres and Procurement. In parallel we are developing Automation and Data Science capabilities to deliver digital and advanced data solutions into the ASDA business. Our Data Scientist roles will help establish and grow this service.  Alongside your team you will engage and collaborate across multiple business functions to identify and prioritise the right opportunities, translating business needs into data modelling requirements and innovative solutions. You will contribute to the on-going development of data science techniques within ASDA and research new techniques and best practices within the industry.  You will develop and build large and complex data sets from multiple data sources, both internally and externally and conduct advanced statistical analysis to determine trends and significant data relationships.  As a Data Scientist you will be at the forefront of establishing and developing our Leeds based capability, and growing our service offering across the business.  About You  You'll have established and proven data science skills and experience, ideally in a similar dynamic fast paced environment. You will be able to demonstrate hands on experience in statistics, applied mathematics, data engineering and machine learning. You will also have exceptional business engagement and communications skills, with the ability to educate business partners on data science methods whilst exploring and identifying data science opportunities. Experience using MySQL, Hadoop, Weka, R and Matlab,ILog would also be highly regarded  Your Benefits  A competitive salary comes with an excellent benefits package including colleague discount, a competitive pension, company bonus and many additional rewards! Once you're here the development opportunities are as endless as your commitment to your self-development and we will support you every step of the way to help further your career.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Venta al por menor, Servicios financieros, Atención sanitaria y hospitalaria",67,Más de 10.001,False,,471,COMPANY_RECRUIT
1,2155701772,2020-10-15,MBN Solutions,Data Scientist,"Edinburgh, Scotland, United Kingdom","Data Scientist – Edinburgh £45,000 - £60,000 + Comprehensive Benefits  MBN are partnering with a global leader in the development and delivery of software products to the Oil & Gas sector. The organization have an impressive array of international clients who they provide with state of the art engineering software products fueled by machine learning & AI. The business are looking to expand their data science team by appointing a Data Scientist with a keen interest in developing and deploying machine learning algorithms within an engineering & physical context. These models help optimise the management of oil & gas fields using real time data and predict failure across multiple engineering products contributing to positive environmental impacts. Key skills & experience required: Commercial experience creating and developing machine learning algorithms (use cases across Supervised & Unsupervised methods as well as Classification/Clustering techniques)Strong programming skills across Python, R or C++ as well as an understanding of opensource frameworksThe ability to manipulate large and deep data sets using SQL and create interactive dashboards using Tableau (or equivalent BI tool) highly advantageousEffective communicator, able to work alongside engineering teams as well as other stakeholders and explain the benefits of the models from a business and technical concept.MSc or PhD qualified preferentially across Computer Science, Engineering Physics or Mathematics Machine learning * Data Science * Python * Engineering * Deep Learning * Artificial Intelligence﻿For more information or to apply, please send your updated CV to Kris@mbnsolutions.com",Intermedio,Jornada completa,Tecnología de la información,Servicios y tecnologías de la información,379,11-50,True,Kris@mbnsolutions.com,1361,ACTIVELY_HIRING_COMPANY
2,2249373089,2020-11-05,Accenture UK,User Researcher - Newcastle,"Glasgow, GB","User Researcher - Newcastle  Location: Newcastle Upon-Tyne  Salary: £28,000 - £48,000  Career Level: (Accenture will be recruiting at the following levels: Senior Analyst, Consultant)  Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. With our thought leadership and culture of innovation, we apply industry expertise, diverse skill sets and next-generation technology to each business challenge.  We believe in inclusion and diversity and supporting the whole person. Our core values comprise of Stewardship, Best People, Client Value Creation, One Global Network, Respect for the Individual and Integrity. Year after year, Accenture is recognized worldwide not just for business performance but for inclusion and diversity too.  “Across the globe, one thing is universally true of the people of Accenture: We care deeply about what we do and the impact we have with our clients and with the communities in which we work and live. It is personal to all of us.” – Julie Sweet, Accenture CEO  As a User Researcher you will work with a team of creative and passionate UX Design specialists who are responsible for creating user-centred designs for digital products and services.  This is a great opportunity to work across multiple different clients in a range of industries. As a member of our close-knit UX and Design team, you will champion the value of User-Centred Design across all products and services as part of delivery best practice.  As a User Researcher, you will:  Plan, design and conduct user research sessions to support the design and development of client services and products  Lead the research process from developing user recruitment briefs through to conducting sessions remotely or face-to-face, session analysis, report writing and playback to your team  Collaborate with product owners and service managers to devise appropriate research strategies that will generate focused insights  Convert concepts and emerging findings into high quality stimulus material  Work closely with designers and developers to turn user data and insights into actionable requirements that feed into prototype development, and influence product direction  Work as a part of Agile delivery teams and possess the hard and soft skills required to participate in design and delivery and be able to identify and progress client issues  Work closely with our UX & Design Team, to share knowledge, learn new skills, and design transformational services    Set yourself apart:  Relevant experience as a User Researcher  You have worked as part of an Agile Scrum team  You are always comfortable advocating for your users, and helping your team and stakeholders navigate a user-centred design process  Some experience working with GDS standards would be beneficial but not essential   What’s In It For You  At Accenture in addition to a competitive basic salary, you will also have an extensive benefits package which includes 30 days’ vacation per year, gym subsidy, private medical insurance and 3 extra days leave per year for charitable work of your choice!  Flexibility and mobility are required to deliver this role as there will be requirements to spend time onsite with our clients and partners to enable delivery of the first-class services we are known for.   About Accenture  Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries — powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 509,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com  Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, or gender identity, or any other basis as protected by applicable law.  Any offer of employment is subject to satisfactory BPSS clearance being obtained  Closing Date for Applications 31/12/2020  Accenture reserves the right to close the role prior to this date should a suitable applicant be found.",Algo de responsabilidad,Jornada completa,Tecnología de la información,"Servicios y tecnologías de la información, Software, Servicios financieros",4,5001-10.000,False,,56,ACTIVELY_HIRING_COMPANY
3,2243576925,2020-11-04,Neilson Financial Services,Junior Data Scientist,"Slough, England, United Kingdom","Role: Junior Data Scientist - Decision Science   Purpose of the role  Decision Science is a new and growing area within BI. We are seeking a driven Analyst (equivalent to Junior Data Scientist) to join us in our journey to deliver commercial value through advanced analytics and models.   You will have a strong background in statistics and mathematics. Fluency in SQL scripting and R programming is a must. You will be comfortable operating in an unstructured environment.     What you will be working on   You will take project briefs from Head of BI and conduct robust analyses that follow a structured process including but not limited to : data extraction, data validation, data exploration, pre-processing, variable selection, model selection, model evaluation, model optimisation, and model output communication.  You will work closely with a Senior Analyst in the Decision Science team to build and maintain propensity models for campaign targeting, prospect scoring, and customer churn. You will also get your hands dirty with attribution and media mix modelling. You will be responsible to develop replicable and automated processes to run basic regression and statistical inference analysis on an ad-hoc basic.     What you will need to be successful  Minimum 3 years experience in similar role You have worked as an Analyst or Junior Data Scientist to deliver data, reports, and insights as part of larger projects. You are highly analytical - backed with solid fundamentals in math and statistics. You possess sharp critical thinking and problem-solving skills when it comes to interpreting data and how it interacts with the model. You have a passion for statistical learning and researching new methods. You will leverage datasets and people you have access to in the business to grow domain knowledge around how the business operates. You are fluent in SQL and R. You are open to learning dashboarding in Power BI if not already adept.",Sin experiencia,Jornada completa,"Análisis, Ciencias","Servicios financieros, Seguros, Marketing y publicidad",167,51-200,True,,586,ACTIVELY_HIRING_COMPANY
4,2273789386,2020-11-04,Bupa,Data Scientist,"London, GB","Job Description  Data Scientist  Staines, Manchester or London (but home working for the time being)  Permanent, Full time  £35,000 - £65,000  We’re a leading health insurer and healthcare provider, with care homes, health centres, dental practices and a hospital. With no shareholders, our customers are our focus. We reinvest profits into providing more and better healthcare for the benefit of current and future customers.  We believe in quality, affordable and accessible healthcare for all. If you share our purpose of helping people live longer, healthier, happier lives, then look no further, Bupa could be the perfect match.  Job Purpose  The Data Scientist’s role within Bupa UK Insurance is to analyse complex health data and produce, verify and interpret analytic findings along with recommendations and develop consumable output for internal and external stakeholders. The Data Scientist is responsible for building algorithms, designing experiments and performing analyses of data, including medical data, drug data, claims data, membership files, online collected data or data collected through different applications and other operational data: to better understand the quality and level of care delivered, the commercials involved and measure the effectiveness of Bupa’s services on both clinical quality and financial returns.  Accountabilities & Activities Responsible for transforming a business idea into a business delivery supported through appropriate analysis with demonstrable benefits.Lead/contribute to projects from beginning to end and beyond the analytic component until a successful implementationResponsible for building algorithms, designing experiments to merge, manage, interrogate and extract data to provide bespoke reports.Use algorithmic, data mining, artificial intelligence, machine learning tools and statistical techniques to identify areas of opportunity and solutions to problems.The Data Scientist works autonomously to design, recommend, execute and oversee analytic projects. A key component is interpreting and reporting findings including text interpretation and actionable recommendations.Able to identify dependencies and related issues across multiple areas in the business and provide solutions in an integrated, effective and efficient wayWork flexibly to support the needs of the business so the job holder will work on ad hoc requirements as they arisePresent results to internal or external audiences including senior teamsWorks with more junior staff and provides direction and expertise.The individual will operate within the regulatory framework which exists in the Insurance industry and will ensure compliance with regulations and auditable processes and activities with supported documentation  Qualifications, Training & Experience 5+ years of related experience as an Analyst or Data Scientist preferably in Insurance or Healthcare with deep understanding of the service industry.Master’s Degree preferably in statistics, mathematics, data science, computer science, or other quantitative field, or equivalent experience.Understanding of healthcare data and key concepts of the PMI business and experience working with medical claims data is a plusHands on experience of ML Algorithms not limited to Tree Models, Gradient Boosting Models, K-Means, Neural Networks, Time Series ForecastingUnderstanding of statistical analysis and a coding background in R/PythonExceptional analytical thinking abilities, capable of sound decision-making, and able to understand wider business issues without losing sight of the detailOwnership and leadership: The individual will have strong sense of ownership, deep experience of working as lead analyst on large & complex projects involving multiple stakeholders and complex technologiesStrong stakeholder management skills, where complex solutions are communicated in a clear and concise manner and tailored to the audienceDemonstrate innovative, lateral and creative thinking and have the broad knowledge and commercial aptitude to contribute ideas on all aspects of the organisationInfluence and lead. The individual will possess gravitas to influence and lead decision making for business colleagues. The individual will need to be able to cover the thought to delivery processHighly effective interpersonal skills with a clear, concise and relevant communication style, including excellent presentational skillsHighly developed written communication skills and excellent listening skillsAbility to ‘horizon scan’ and seek out new and emerging methodologies and opportunities  Benefits  We’re driven by one purpose, helping people live longer, healthier, happier lives and that that means our people too. As a Bupa employee you’ll be entitled to some fantastic benefits which include 25 days holiday increasing to 30 days as your length of service increases, the option to buy and sell holiday, an enhanced pension plan, life assurance and income protection. You’ll join our annual bonus scheme, amount variable dependent upon your role and performance. Looking after your health is important to us and you can benefit from our health trust scheme where all our people have the option of taking our market-leading medical insurance cover, which includes mental health support and treatment, at a greatly reduced price as well as a free health assessment every 2 year. Your health and wellbeing matter to us and we provide lots of family friendly policies too. You can keep fit at our free onsite gyms (local gym discounts where no onsite gym). We will support you to get to work, offering a season ticket loan to spread the cost of an annual train/bus ticket as well as our cycle to work scheme.  Whether you’ve found your feet or are discovering a new path. Welcome to a place that celebrates you. This isn’t where you've been. This is where you're going. This is what we have belief in.  Bupa is committed to making sure that every applicant is assessed solely on the basis of personal merit and qualifications, regardless of gender, sexual orientation, pregnancy or maternity, marital or civil partner status, gender reassignment, race, colour, nationality, ethnic or national origin, religion or belief, disability or age.  Time Type  Full time Job Posting End Date",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Dotación y selección de personal, Sanidad, bienestar y ejercicio, Atención sanitaria y hospitalaria",30,Más de 10.001,False,,304,ACTIVELY_HIRING_COMPANY
5,2248365087,2020-10-23,Depop,Junior Data Engineer,"London, GB","Depop is the fashion marketplace where the next generation buy, sell and get inspired. We are headquartered in London, UK with locations in New York and LA. We have more than 20 million registered users in 147 countries. In the UK, 1 in 3 Gen Z/Millennials are registered and in the US we have grown 300% over two years. We are also the only European player to have recently entered the top 25 shopping apps by daily active users.  Our mission is to empower the next generation to transform fashion, and our team of nearly 200 people are dedicated to serving the needs of our global community.  We operate on three pillars:  Community: Our buyers, sellers and employees are inclusive, diverse and accessible. We are committed to empowering diversity within the fashion community. Entrepreneurship: We support our community and help them build their business with Depop. We thrive on supporting innovation by shaping an environment where creators, makers or hustlers can thrive.  Sustainability: Depop helps extend the life of garments and reduce waste, we care about the world and want to make a positive change within the fashion industry.    The Role  Data Is At The Heart Of What We Do.  Depop is looking for a Junior Data Engineer to join our growing team! Our platform receives 10,000's of requests every second: we're looking to cut through the noise, leverage this vast data, and find value.  We're building scalable and robust systems to harvest, process and analyse the vast data within our tech ecosystem. With an increasing demand to service other areas of the business, and ultimately our 16 million users, you'll be at the forefront of pioneering Data-as-a-Service.  Want to find out more about Depop & our engineering team?  We write about technology, people and smart engineering right here -https://engineering.depop.com/  Responsibilities:  You'll be...  building out our data infrastructure, in terms of scalability and availability, with an additional focus on ensuring data integrity working on projects centred around real-time streaming, data lake optimisation and a novel user-tracking and personalisation system continuously developing Data and Software Engineering knowledge and best practices interacting with internal members of the Depop team to solve business problems  Requirements:  You have…  exposure to either Scala or Python an understanding of the importance of testing demonstrated a keen interest in data engineering a willingness to deliver user value quickly  Technologies and Tools:  Airflow Kubernetes Scala Python Terraform Kafka Spark   Benefits  Learn and Grow: We want to give our people the opportunity to learn. We sponsor and run a myriad of programs, conferences and meet-ups to upskill our employees and enhance their journey with us, just ask! Wellbeing: We care about our employees wellbeing. We offer a cycle to work scheme, healthy fruit and snacks in the office, breakfast every Tuesday, eyecare vouchers and a discounted gym membership at Nuffield Health. Mental Health: Our employees mental health is a top priority. We offer subsidised counseling appointments with a qualified therapist through SelfSpace, we have trained mental health first aiders and we also run yoga, meditation and more. Work/life balance: We have 25 days of holiday with the opportunity to buy or sell 5 more, a day off for activism to allow you the opportunity to make a difference and we offer sabbaticals for our long serving employees  Family life: We offer flexible working (based on the team you will be joining), generous maternity/paternity and parental leave policies which includes adoption and paid time off for fertility treatments. Also, all of our offices are dog-friendly! Do your best work with your best friend. Fun: We love to hang out with each other at Depop. On Friday we finish an hour early to socialise with free food, and have amazing Winter and Summer Parties to celebrate our successes. We also host internal employee socials such as quiz night, games night, movie night and more...we've taken this virtual for now!  Equality and Diversity Monitoring  Depop is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.  Depop recognises the benefits of a diverse workforce which reflects the wider population and welcomes applications from all sections of the community. Under the Equality Act (2010), Depop must demonstrate that their recruitment processes are fair and that we are not discriminating against or disadvantaging anyone because of their age, disability, gender reassignment status, marriage or civil partnership status, pregnancy or maternity, race, religion or belief, sex or sexual orientation. We need to ask applicants some questions to make sure that no one is being unfairly discriminated against or disadvantaged.  We collect this information only for anonymised monitoring purposes to help the organisation look at the profile of individuals who apply, are shortlisted for and appointed to each vacancy. In this way, we can check that we are complying with the Equality Act (2010).  Under the Equality Act 2010 the definition of disability is if you have a physical or mental impairment that has a 'substantial' and 'long-term' adverse effect on your ability to carry out normal day to day activities. Further information regarding the definition of disability can be found at: www.gov.uk/definition-of-disability-under-equality-act-2010  Reasonable adjustments will be made available should you be invited to interview.  GDPR Statement  When you apply to a job on this site, the personal data contained in your application will be collected by Depop Ltd, 08316342 ('Controller'), 9th Floor 107 Cheapside, London, United Kingdom, EC2V 6DN ('We', 'Us') and can be contacted by emailing people@depop.com.  Your personal data will be processed for the purposes of managing Controller's recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.  Your personal data will be shared with Greenhouse Software, Inc., a cloud services provider located in the United States of America and engaged by Controller to help manage its recruitment and hiring process on Controller's behalf. Accordingly, if you are located outside of the United States, your personal data will be transferred to the United States once you submit it through this site. Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data collected from EU data subjects, the transfer will be subject to appropriate additional safeguards under [either the standard contractual clauses or the Privacy Shield]. You can obtain a copy of the standard contractual clauses by contacting us at people@depop.com.  Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.",Algo de responsabilidad,Jornada completa,Tecnología de la información,"Software, Internet, Servicios financieros",42,201-500,False,"people@depop.com., people@depop.com.",279,COMPANY_RECRUIT
6,2251506711,2020-11-06,Sky,Data Scientist,"Isleworth, GB","Want to do the best work of your life? With 24 million customers in 7 countries, make your mark at Europe’s leading media and entertainment brand. A workplace where you can proudly be yourself: our people make Sky a truly exciting and inclusive place to work.  Data science is at the heart of decision making in Sky and drives a majority of decisions across marketing, customer interactions and customer services at Sky. We are scaling up our data science practice to transform how we manage customers across all life cycles for both experience profitability. We have built and successfully deployed intelligence into Sky and are already delivering realisable value into the business.  What You'll Do  Responsible for developing and driving actionable customer intelligence from our core data assets using advanced analytics  Develop advanced analytics algorithms exploiting our rich data assets including viewing behaviours and content engagement on multiple platforms (linear, on demand, streaming etc), online engagement with Sky digital (apps, website), customer service interactions, service quality and performance information and customer metrics Engage with key stakeholders (marketing, retention, service, finance) to understand business objectives and support these objectives through best use of advanced analytics approaches. Engage with our technology teams and data engineers to build solutions for managing customer treatments at Sky. Strengthen our internal data science capabilities by continuously innovating and driving new ideas, building technology partnerships with our vendors, training and developing our people and creating a world class data science team at Sky. What You'll Bring  Experience in at least one advanced analytical area including Predictive Modelling, Optimisation, Clustering or NLP. Python programming for modelling and/or data analysis is essential Experience using SQL for data extraction, feature development etc. is essential Ability to quickly understand a business objective, problem solving to create an analytical solution and stakeholder communication A commercial outlook of the applications of data science to drive commercial value – everything we do drives value into the business. Experience in data engineering, data modelling for advanced analytics, data processing on cloud, model management and app deployment on cloud is highly desirable. The Rewards  There’s a reason people can’t stop talking about #LifeAtSky. Our great range of rewards really are something special, here are just a few:  Sky Q, for the TV you love all in one place A generous pension package Private healthcare Discounted mobile and broadband Where You'll Work  Our Osterley campus is a 10-minute walk from Syon Lane train station. Or you can hop on one of our free shuttle buses that run to and from Osterley, Chiswick Park, Gunnersbury, Acton Town and Ealing Broadway tube stations. There’s also plenty of parking, bike shelters and showers.  On campus you’ll find six subsidised restaurants and a Waitrose. You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed and even get pampered at our beauty salon.  Inclusion  Recognised as an ‘Inclusive Top 50 Employer’ and a ‘Times Top 50 Employer for Women’, we’re working hard to ensure we’re a truly inclusive place to work. This means we don’t just look at your CV. We’re more focused on who you are and the potential you’ll bring to Sky. We also know that everyone has a life outside work so we're happy to support you as much as we can with flexible shift patterns.  And we'll do everything we can to support you during your application. If you need us to make any adjustments to our recruitment process, speak to our recruitment team who will be happy to support you.  Why wait?  Apply now to build an amazing career and be part of a brilliant team. We can’t wait to hear from you.  To find out more about working with us, search #LifeAtSky on social media. A job you love to talk about.  Just so you know: if your application is successful, we’ll ask you to complete a criminal record check. And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Marketing y publicidad, Servicios y tecnologías de la información, Software",62,Más de 10.001,False,,434,COMPANY_RECRUIT
7,2171738364,2020-11-06,Moneyfarm,Data Scientist,"London, England Metropolitan Area","Who we are: We’re a pan-European digital wealth manager with 50,000 active investors (growing fast!) and over £1.2 billion invested on our platform. With 130+ people across 4 offices in Italy, Germany and the UK, we’re supported and funded by Poste Italiane, Cabot Square Capital and Allianz.  We started in 2011 in Milan with a simple vision - to help more people improve their financial well-being by making personal investing straightforward and accessible through technology. Fast forward a few years, and we’re known as one of the most innovative fintechs headquartered in the heart of London.  Our Mission: To provide investment solutions and advice to protect and grow client wealth through time. Our Core Values: We’ve built our business on three Principles:Relationships are our first assetWe’re one team, built on trust, honesty and transparency. We value our relationships above all else. Trust drives successWe give each other the space to grow. We empower our employees to succeed, so they can make a real impact. Our customers dream big, just like usWe see the bigger picture and we make sure our customers see it, too. We’re always focused on the best outcomes for our clients and for each other, no matter what the goal, or how big the dream.  What this means in practice: At Moneyfarm, diversity is the foundation of our competitive advantage. We value our employees for who they are – their backgrounds, experiences, talents, knowledge and individual differences. This is what makes us better at what we do. To accommodate our different needs and commitments, we offer flexible working to all. Our individual impact and output is what counts most.   “It is a capital mistake to theorize before one has data.” – Sherlock Holmes“Data is a precious thing and will last longer than the systems themselves” – Tim Berners-Lee  What you'll be doing  Investigate and analyze data to generate insights to support optimization of business performance and improvement of product development.Coordinate with senior stakeholders and different functional teams to implement models and monitor outcome KPIs. Use predictive modeling to optimize customer experiences, revenue generation, ad targeting and other business outcomes. Develop processes and tools to monitor and analyze model performance and prediction accuracy. Develop company A/B testing framework using statistically robust methodologies.Develop new analytic approaches for profiling and segmenting customers to generate insights and inform decisions.Communicate insights to non-technical stakeholders using data storytelling and visualisation tools.Identify and assess new potential data sources or tools to further enhance data capabilities.Adhoc support for data analysis and building reports. Working with the wider data and tech team to support and maintain the data environment and warehousing. Must have: Insatiable curiosity to derive relevant insights from dataAt least 4-5 years experience with a BSc in Computer Science, Engineering or MathsStrong proficiency in data manipulation and modelling using both SQL and PythonExperience in a wide range of ML techniques and algorithms e.g. regression, random forest, neural networks, clusteringAbility to test for statistical validity and biasAbility to identify trends and patterns in complex data sets and visualisation in TableauExcellent written and verbal communication with non technical stakeholders  Nice to have: Experience of big data tools (EMR, spark)Familiarity with AWS environment and servicesUnderstanding of dimensional and relational database modellingExperience with ETL design, implementation and maintenanceUnderstanding of continuous development and delivery, agile methodology.",Intermedio,Jornada completa,"Ingeniería, Tecnología de la información",Servicios financieros,156,51-200,False,,1479,None
8,2284269209,2020-11-05,None,Data Scientist - Glasgow,"Glasgow, GB","Data Scientist – Glasgow  This advanced Software House are looking to recruit a Data Scientist who will be developing Microsoft Azure-hosted machine learning (SaaS) algorithms, the main aim of the role for the Data Scientist will be applying data mining techniques, carrying out statistical analysis and building high quality machine learning prediction systems integrated with their product. While a theoretical/academic knowledge of machine learning is important, our ideal candidate is someone who can translate this into real world solutions that deliver quantified business benefit. Core responsibilities for this Data Scientist role: Collaborate with the Product Owner, development team and other key stakeholders to define the roadmap, understand the role that machine learning / analytics has in achieving this roadmap and size the work appropriately.Work as an integral member of a Scrum team to deliver iterative functionality and enhanced data analytics.Take additional external data sources into their solution and extend the machine learning algorithms to improve our prediction models:Feeds of data from IoT devices / Azure IoT Hub and 3rd party cloud services.Data Mining.Data Analytics.Evaluation, selection and training of Machine Learning models within Azure.Development, Configuration and Deployment of Machine Learning models to Azure (as containers).Processing, cleansing, and verifying the integrity of data used for analysis.Doing ad-hoc analysis and presenting results in a clear manner to help inform product direction. Core skills & experienceExcellent understanding of machine learning techniques and algorithms.Proven ability to evaluate multiple machine learning algorithms against varying data sets and determine which algorithms will yield the best results.Knowledge of Azure Machine Learning SaaS-based services, including model selection, training, configuration and deployment.Experience displaying and analysing data using PowerBI.Experience with common data science toolkitsProficiency in using SQL for querying data.Good applied statistics skills, such as distributions, statistical testing, regression, etc. The role will appeal to an individual capable of working in a fast paced environment, the Data Scientist will have the initiative to approach challenges with enthusiasm and the ability to react to changes whilst maintaining a clear focus on the company objectives. Exceptional time management, communication and problems solving skills are a must. Keywords: Data Scientist, Azure, SaaS, Machine learning, algorithms, Data Analytics, Data Mining, Data analysis, SQL, PowerBI, Glasgow, Renfrewshire, Paisley, Scotland, Port Of Glasgow, Clydebank, Azure Send your CV to Bethany now – (url removed) or call (phone number removed)Please follow us on twitter @erinassociates for similar roles Erin Associates Ltd is acting as an Employment Agency in relation to this vacancy",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Dotación y selección de personal",None,None,False,,5,None
9,2246957122,2020-10-02,Pitchup.com,Data Scientist,"London, GB","We’re a multi award-winning team expanding the online bookable campsite and holiday park market where only 30% are bookable online. And we want another expert to join us.  We're looking for an ambitious and talented data scientist to join our team managing double/triple-digit annual growth. We’re all about collaboration – you’ll gain direct experience of the rapid evolution of a high-profile growth company, working alongside other experts in an apolitical, friendly environment, and report to the managing director.  Pitchup.com is the market leading online booking site for campsites and caravan parks, with 20m annual visits and over 3,000 sites available in 47 countries.  More Brits go camping and caravanning than holiday in Spain and Greece combined, and the market is booming as Brits switch to domestic holidays. We're now expanding globally to capture more of the 1bn night global camping market.  A Deloitte Technology 'Fast 50' winner in 2016, Pitchup.com receives up to 115,000 visits and 2,500 bookings per day. The company is profitable and was founded in 2009 by former lastminute.com staff with a background in the holiday park sector.  Features we've developed recently include our award-winning mobile site and advanced compare tool. Behind the scenes we’ve built many features to help campsite owners manage their vacancies, via extranet or API, and encourage them to sign up.  We’re based at The Light Box off the Chiswick High Road (nearest tube/train Gunnersbury, Kew Bridge) and are a lively friendly team with bags of experience. We want someone similar to join us – is that you?  What you might be working on:   improving our understanding of customer lifetime value identifying highest-priority regions for new supply making recommendations on ad spend allocation and helping maintain certain channels enhancing our prioritisation and planning processes multi-variate testing 'owning' analytics in the organisation and handling ad-hoc requests from team members  About you:   excellent academic record in a numerate/scientific discipline from a top university experience in ecommerce, consulting or similar strong Python, AWS and SQL experience, including manipulating large datasets keen to get involved in a hands-on way, suggesting new feature ideas and always on the lookout for the next growth/optimisation opportunity a fan of agile working practices – you get things done and aren't fazed by rapid change and competing priorities exacting, detail-orientated approach a quick-on-the-uptake problem solver  Backend stack: Python / Postgres  Salary: Competitive salary plus pension match up to 3%, critical illness cover, group income protection and Vitality private medical insurance.  Contract applicants will also be considered.  Questions about the role before applying? Let's talk - contact us.  Powered by JazzHR  PNwdCR4N3Y",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Marketing y publicidad, Internet, Dotación y selección de personal",3,11-50,False,,45,None
