,Job ID,Date,Company Name,Title,Location,Description,Level,Type,Functions,Industries,Solicitudes,Empleados,Quick Application,Emails,Visualizaciones,Recommended Flavor
0,1931278774,2020-09-15,"JERA Co., Inc.",Jr. Data Scientist,"東京都, 日本","【役割概要/目的 – Role Overview / Objectives】The Jr. data scientist’s role is to provide analytical view from many layers of data using advanced business intelligence tools, analytical methods and develop statistical models.  【主な役割/責任:Prioritized Responsibilities】 1.      Develop analytical models and business scenarios based on data science techniques（20%）2.      Acquire data from different data sources, identify, analyze and interpret trends or patterns in data sets（20%） 3.      Develop reports and use various visualization tools to present data to business （30%）4.      Support advanced analytics and innovation projects and BIG data related application development（30%）  【コミュニケーション＆対人スキル/Communication & People Management Skills】-         Work closely with ICT Leadership team and project managers-         Work closely with data architect, business system solution leaders and ICT business partners-         Support the digital service platform (data platform, collaborative application development on cloud, POC of digital solutions,…)-         Work closely with middleware team-         Work closely with mobile and platform development  【コンピテンシー/Competencies】  -         Leadership: be able to self-manage time and tasks for delivery-         Communication: be able to articulate the needs, risks and opportunities in clear and objective manner-         Be able to communicate proactively with business and provide insight and get feedback-         Be keen to learn about the business, its challenges and opportunities with advanced technologies-         Knowledge data mining, data science and/or modeling, focusing on data visualization and decision support functions-         Expertise in data collection, data filtering and cleaning-         Expertise in different programming and scripting languages (SQL, Python, Java, C# …)-         Knowledge of statistics and analytics skills-         Knowledge of data base systems (relational, non-rlational) and its programming languages-         Be able to learn in-memory DB programming-         Be able to learn and apply learning re. cloud application and service installation and configuration-         General knowledge of API development-         General knowledge of visualization software and techniques  (WebI, Lumira, Tableau etc..)",Intermedio,Jornada completa,Tecnología de la información,"Petróleo y energía, Servicios públicos",188,1001-5000,True,,1765,ACTIVELY_HIRING_COMPANY
1,2011745415,2020-10-31,LifeBell AI,Data Scientist,United States,"The OpportunityAs a Data Scientist at LifeBell AI, you’ll be responsible for developing and validating novel machine learning approaches for early prediction of sepsis and other clinical conditions. You'll work closely with our CTO, CSO, data science core, and engineering teams. You’ll join a tight-knit group that values collaboration, continuous improvement, and solving challenging technical and product problems in an emerging space. Plus, we like to have fun along the way. About UsLifeBell AI creates intelligent software that saves lives by harnessing the latest advances in machine learning, analytics, and sensor technologies across healthcare. We’re a fast-growing, fully funded, Atlanta-based technology startup, with both local and remote employees. Join us as a data scientist in our mission to reduce morbidity and mortality from sepsis, a life-threatening condition that affects over 48 million people globally each year. Partners include top governmental, healthcare, and academic institutions. LeadershipLifeBell AI is founded and led by Erez Goren and Gari Clifford, PhD. Erez was previously the founder & CEO of Radiant Systems (NASDAQ: RADS, acquired by NCR for $1.2B), BlueCube Software (acquired by RedPrairie), and Hi-Rez Studios (70M+ players worldwide). Gari is the Chair and Professor of Biomedical Informatics at Emory University, and a Professor of Biomedical Engineering at Georgia Tech. Gari was previously an Associate Professor at the University of Oxford and a Principal Research Scientist at MIT where he commercialized multiple biomedical innovations, and managed a project to collect and analyse the world's largest public database of hospital data. What You’ll DoAsk questions, connect the dots, and uncover opportunities to improve healthcareWork on multiple initiatives to create and improve LifeBell AI’s models and analyticsWork across the entire machine learning pipeline, including data exploration, feature engineering, model training, deployment, monitoring, and calibration/retraining What We’re Looking For3+ years of professional experience applying machine learning to real-world problemsSomeone who has put models into production and monitored their effectivenessTeam player, who can work and communicate effectively with othersSelf-motivated, with a genuine interest in the problems you’ll be solving Nice to HaveMasters or PhD in Computer Science, Engineering, Statistics, or a related technical fieldDomain knowledge in biomedical informatics, healthcare, or a related fieldPrior publication of high quality peer-reviewed research articlesAbility to work in Atlanta, GA (however, remote-work from anywhere in US is OK)Ability to obtain a security clearance Benefits & PerksCompetitive salary with health, dental and vision insuranceGenerous vacation, sick day, holiday, and leave policiesEquity incentive plan and 401K matchingGreat office transit access, parking, and amenitiesGym membership, snacks & drinks, and a casual dress styleOpportunity for meaningful impact in a team-based environmentRemote-friendly culture with daily stand-ups, virtual lunches, and a video-first attitudeSelf-funded, stable technology startup with an approachable leadership teamWork-life balance and team-activities Core Values at LifeBell AISave Lives: Improving patient health outcomes is our north starInnovate: Our goal is to create industry defining moments, through technology & scienceBe Human: We treat ourselves, and each other, with respect & understandingAim for Excellence: We push ourselves, and each other, to improve every dayLess is Better: Focus and simplicity matter - we aim to do a few things exceptionally wellGet it Done: Actions speak louder than words, and execution is key Come As You Are: We aim to build an inclusive workforce. If you’re passionate about this role, but do not meet all of the qualifications listed above, we still encourage you to apply. We are an equal opportunity employer and celebrate diversity. We do not discriminate on the basis of age, ancestry, citizenship, color, ethnicity, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or invisible disability status, political affiliation, veteran status, race, religion, or sexual orientation. Remote Work: We are open to hiring remotely from anywhere in the United States. We know great talent is everywhere, and want to build the best team we can. You do not need to relocate to Atlanta GA for this role, although it’s our preference when possible. We do have periodic company retreats and team-events that include remote employees, which may involve occasional travel. These events are intended for your benefit, as an opportunity to connect more deeply with others. COVID-19: LifeBell AI is committed to hiring during the pandemic, with all interviewing and onboarding done virtually due to COVID-19. Everyone new to the team, along with our current staff, will temporarily work from home until it is safe to return to our office. In the meantime, we’ve implemented various practices to make remote working as enjoyable and practical as possible. Posting: If you are a recruiter or placement agency, please do not submit unsolicited resumes to our team unless we have a prior agreement. LifeBell is not liable for and will not pay for any placement fees associated with unsolicited resumes. Thank you.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información",Software,434,2-10,False,,2795,JOB_SEEKER_QUALIFIED
2,1990927515,2020-11-04,BlackSwan Technologies,Data Scientist,Russia,"Who You Are:You are a full-stack data scientist, an experienced quantitative thinker who wants to develop further as both a data scientist and an engineer. You are skilled at finding the precise mathematical kernels of real-world problems and want to bring that talent to bear on the business questions facing the world’s leading companies. You are excited to apply your existing expertise in fields such as statistics and computer science on BlackSwan’s ELEMENT state-of-the-art infrastructure. You are excited to work at a startup where you will have a chance to expand your scientific and engineering skills to new areas.  You share BlackSwan’s commitment to winning Who We Are:BlackSwanTechnology.ai is a uniquely positioned data science and human Intelligence insights product company. In our primary application, we offer enterprise level AI empowered Business Applications to the data intensive organisations. We are currently building our next generation Enterprise AI Operating system which will be the world’s most advanced most comprehensive product for Digital Transformation. Our advantage is existing unbelievable human assets, science, engineering, and SaaS product capabilities that align very well with the technology needs.To help you succeed, we provide a supportive environment that fosters collaboration between teams and team members, where learning and professional growth is considered a key part of your success, and of ours. We offer a flexible work environment with a family-friendly work-life balance What A Great Candidate Looks Like:MS or higher in the following areas: Statistics and MathematicsAt least 3-5 years of professional industry experience, in addition to your academic experienceOutstanding quantitative analytical ability.Able to take less than precise business requirements and translate them into logic problems which you enjoy solvingIndependent and creative approach to problem solvingExcellent written and verbal communication skills, with prior experience explaining assumptions, conclusions and methodology to both internal and external customersIn-depth knowledge of Statistics/Probability/Machine LearningGeneral Statistical concepts such as hypothesis testing, estimation, inferenceSupervised and unsupervised statistical techniques such as regression (linear / logistic), time series analysis, clusteringMachine Learning foundations such as bias/variance trade-off, regularization, dimension reductionReal world experience with popular machine Learning algorithms such as Random Forest, Boosting, SVMsExperience with unstructured text data using NLP methods such as Latent Dirichlet Allocation (LDA), Latent Semantic Analysis (LSA), Sentiment Models, Word Embeddings, Text Similarity, Entity extraction is a strong plusStrong programming experience in Pyton and one of the following of the following: Scala/Java, RUnderstanding of algorithm complexity and performance implicationsKnowledge of data structures and algorithmsGood knowledge of Knowledge EngineeringGood knowledge of Graph technology, Knowledge Graphs, Graph Data bases and OntologiesExperience with SQLFamiliarity with R Shiny framework is a plus The Opportunity We Offer:BlackSwanTechnologies.ai is seeking to fill a Full-Stack Data Scientist position in on our Data Science team. We work closely with the Product Management team and Platform engineers to anticipate company needs and quickly put state-of-the-art mathematical tools into the hands of end users. Members of the Data Science team translate real world problems into quantitative language, find or create algorithms to solve those problems, and implement them in code. Our team values a creative and empathetic approach to problem solving and strives to maintain rigorous scientific and engineering standards. We will give you the opportunity to work on the full data science pipeline, bringing solutions from basic research all the way to production. We relentlessly solve problems. We win together.",Intermedio,Jornada completa,Tecnología de la información,Software,376,51-200,True,,1932,ACTIVELY_HIRING_COMPANY
3,2275681903,2020-11-04,Lori,Junior Data Scientist,"Nairobi, KE","About Lori   Lori is a venture-backed, rapidly growing start-up that is building a cutting-edge, tech-driven, logistics services platform that seamlessly coordinates haulage across frontier markets. With a mission to reduce the cost of goods, Lori is tackling a massive issue - $180 billion is spent annually on haulage across Africa, which means that up to 75% of a product’s cost is due to logistics (compared to 6% in the US).  Lori was recognized as the fastest growing start-up in Africa and won Techcrunch’s Battlefield Africa. The tech-enabled and operations-driven marketplace efficiently connects transport to cargo. The system brings transparency to the logistics industry and has significantly improved flexibility, reliability, and cost savings (upwards of 20%). Billions of dollars of cargo move through the Lori platform annually.  The market demand for Lori’s platform is increasing exponentially. To continue this pace of growth, Lori closed a landmark raise from globally leading institutional and strategic investors. Lori currently operates in Kenya, Uganda, Rwanda, Tanzania, South Sudan, Ethiopia, Democratic Republic of the Congo, Ghana, Nigeria, and Togo with plans to expand within the next 12 months.  The Lori team of ~150 employees is led by nerds obsessed with revolutionizing logistics in Africa:  Josh Sandler, CEO: industrialization + logistics wonk, Harvard MBA/MPA-ID, South African nativeJean-Claude Homawoo, CPO: Product Lead at Google, Executive at iRoko: Harvard MBA, Togolese nativeUche Ogboi, COO: Principal at EchoVC (TPG Growth investment platform), Investment Banker at Citi, Nigerian nativeAlan Elliott, CFO: 30+ yrs senior financial and operational management experience in logistics, supply chain, and manufacturing, South African native  Lori is seeking a hands-on Junior Data Scientist to join our Product team based in Nairobi. As a Data Scientist, you will be responsible for helping business teams understand the business better using data. You will work closely with business teams, data engineers and software developers as you interpret business requirements and translate them to logic that will pull and organise data.  Interpreting business requirements in order to develop logic based on schema and available dataBuilding dashboards/reports using SQL on a Business Intelligence platformSupport the adoption of BI user self-serveAutomate moving of data from the AWS ecosystem to the BI (Metabase) using AirflowBuild and maintain Data pipelines from external data sourcesCollaborate with members of the Tech team (e.g. data engineers, Product Operations Managers, Software Engineers, and other data scientists) on the project’s goals.Support Senior Data Scientist to train and Operationalize Machine Learning ModelsBuild and Maintain Machine Learning Pipelines.   Requirements  Bachelor’s degree in computer science, software/computer or any engineering discipline, applied mathematics, or physics statistics or Experience in a related field with real-world skills Testimonials from former employer or colleagues.Possible two years work experience or personal projects that will form proof of technical expertise and skill mastery.Intellectual curiosity to find new and unusual ways of how to solve data management issues.The ability to work in a team with diverse people such person will be a team playerTools SQL, NoSQL, AWS, Python, Relevant Python libraries and frameworks for data scienceExperience using metabase will be an added advantage",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Logística y cadena de suministro, Banca, Servicios financieros",174,51-200,False,,642,ACTIVELY_HIRING_COMPANY
4,2243576925,2020-11-04,Neilson Financial Services,Junior Data Scientist,"Slough, England, United Kingdom","Role: Junior Data Scientist - Decision Science   Purpose of the role  Decision Science is a new and growing area within BI. We are seeking a driven Analyst (equivalent to Junior Data Scientist) to join us in our journey to deliver commercial value through advanced analytics and models.   You will have a strong background in statistics and mathematics. Fluency in SQL scripting and R programming is a must. You will be comfortable operating in an unstructured environment.     What you will be working on   You will take project briefs from Head of BI and conduct robust analyses that follow a structured process including but not limited to : data extraction, data validation, data exploration, pre-processing, variable selection, model selection, model evaluation, model optimisation, and model output communication.  You will work closely with a Senior Analyst in the Decision Science team to build and maintain propensity models for campaign targeting, prospect scoring, and customer churn. You will also get your hands dirty with attribution and media mix modelling. You will be responsible to develop replicable and automated processes to run basic regression and statistical inference analysis on an ad-hoc basic.     What you will need to be successful  Minimum 3 years experience in similar role You have worked as an Analyst or Junior Data Scientist to deliver data, reports, and insights as part of larger projects. You are highly analytical - backed with solid fundamentals in math and statistics. You possess sharp critical thinking and problem-solving skills when it comes to interpreting data and how it interacts with the model. You have a passion for statistical learning and researching new methods. You will leverage datasets and people you have access to in the business to grow domain knowledge around how the business operates. You are fluent in SQL and R. You are open to learning dashboarding in Power BI if not already adept.",Sin experiencia,Jornada completa,"Análisis, Ciencias","Servicios financieros, Seguros, Marketing y publicidad",165,51-200,True,,576,ACTIVELY_HIRING_COMPANY
5,2273789386,2020-11-04,Bupa,Data Scientist,"London, GB","Job Description  Data Scientist  Staines, Manchester or London (but home working for the time being)  Permanent, Full time  £35,000 - £65,000  We’re a leading health insurer and healthcare provider, with care homes, health centres, dental practices and a hospital. With no shareholders, our customers are our focus. We reinvest profits into providing more and better healthcare for the benefit of current and future customers.  We believe in quality, affordable and accessible healthcare for all. If you share our purpose of helping people live longer, healthier, happier lives, then look no further, Bupa could be the perfect match.  Job Purpose  The Data Scientist’s role within Bupa UK Insurance is to analyse complex health data and produce, verify and interpret analytic findings along with recommendations and develop consumable output for internal and external stakeholders. The Data Scientist is responsible for building algorithms, designing experiments and performing analyses of data, including medical data, drug data, claims data, membership files, online collected data or data collected through different applications and other operational data: to better understand the quality and level of care delivered, the commercials involved and measure the effectiveness of Bupa’s services on both clinical quality and financial returns.  Accountabilities & Activities Responsible for transforming a business idea into a business delivery supported through appropriate analysis with demonstrable benefits.Lead/contribute to projects from beginning to end and beyond the analytic component until a successful implementationResponsible for building algorithms, designing experiments to merge, manage, interrogate and extract data to provide bespoke reports.Use algorithmic, data mining, artificial intelligence, machine learning tools and statistical techniques to identify areas of opportunity and solutions to problems.The Data Scientist works autonomously to design, recommend, execute and oversee analytic projects. A key component is interpreting and reporting findings including text interpretation and actionable recommendations.Able to identify dependencies and related issues across multiple areas in the business and provide solutions in an integrated, effective and efficient wayWork flexibly to support the needs of the business so the job holder will work on ad hoc requirements as they arisePresent results to internal or external audiences including senior teamsWorks with more junior staff and provides direction and expertise.The individual will operate within the regulatory framework which exists in the Insurance industry and will ensure compliance with regulations and auditable processes and activities with supported documentation  Qualifications, Training & Experience 5+ years of related experience as an Analyst or Data Scientist preferably in Insurance or Healthcare with deep understanding of the service industry.Master’s Degree preferably in statistics, mathematics, data science, computer science, or other quantitative field, or equivalent experience.Understanding of healthcare data and key concepts of the PMI business and experience working with medical claims data is a plusHands on experience of ML Algorithms not limited to Tree Models, Gradient Boosting Models, K-Means, Neural Networks, Time Series ForecastingUnderstanding of statistical analysis and a coding background in R/PythonExceptional analytical thinking abilities, capable of sound decision-making, and able to understand wider business issues without losing sight of the detailOwnership and leadership: The individual will have strong sense of ownership, deep experience of working as lead analyst on large & complex projects involving multiple stakeholders and complex technologiesStrong stakeholder management skills, where complex solutions are communicated in a clear and concise manner and tailored to the audienceDemonstrate innovative, lateral and creative thinking and have the broad knowledge and commercial aptitude to contribute ideas on all aspects of the organisationInfluence and lead. The individual will possess gravitas to influence and lead decision making for business colleagues. The individual will need to be able to cover the thought to delivery processHighly effective interpersonal skills with a clear, concise and relevant communication style, including excellent presentational skillsHighly developed written communication skills and excellent listening skillsAbility to ‘horizon scan’ and seek out new and emerging methodologies and opportunities  Benefits  We’re driven by one purpose, helping people live longer, healthier, happier lives and that that means our people too. As a Bupa employee you’ll be entitled to some fantastic benefits which include 25 days holiday increasing to 30 days as your length of service increases, the option to buy and sell holiday, an enhanced pension plan, life assurance and income protection. You’ll join our annual bonus scheme, amount variable dependent upon your role and performance. Looking after your health is important to us and you can benefit from our health trust scheme where all our people have the option of taking our market-leading medical insurance cover, which includes mental health support and treatment, at a greatly reduced price as well as a free health assessment every 2 year. Your health and wellbeing matter to us and we provide lots of family friendly policies too. You can keep fit at our free onsite gyms (local gym discounts where no onsite gym). We will support you to get to work, offering a season ticket loan to spread the cost of an annual train/bus ticket as well as our cycle to work scheme.  Whether you’ve found your feet or are discovering a new path. Welcome to a place that celebrates you. This isn’t where you've been. This is where you're going. This is what we have belief in.  Bupa is committed to making sure that every applicant is assessed solely on the basis of personal merit and qualifications, regardless of gender, sexual orientation, pregnancy or maternity, marital or civil partner status, gender reassignment, race, colour, nationality, ethnic or national origin, religion or belief, disability or age.  Time Type  Full time Job Posting End Date",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Dotación y selección de personal, Sanidad, bienestar y ejercicio, Atención sanitaria y hospitalaria",30,Más de 10.001,False,,301,ACTIVELY_HIRING_COMPANY
6,2251506711,2020-11-06,Sky,Data Scientist,"Isleworth, GB","Want to do the best work of your life? With 24 million customers in 7 countries, make your mark at Europe’s leading media and entertainment brand. A workplace where you can proudly be yourself: our people make Sky a truly exciting and inclusive place to work.  Data science is at the heart of decision making in Sky and drives a majority of decisions across marketing, customer interactions and customer services at Sky. We are scaling up our data science practice to transform how we manage customers across all life cycles for both experience profitability. We have built and successfully deployed intelligence into Sky and are already delivering realisable value into the business.  What You'll Do  Responsible for developing and driving actionable customer intelligence from our core data assets using advanced analytics  Develop advanced analytics algorithms exploiting our rich data assets including viewing behaviours and content engagement on multiple platforms (linear, on demand, streaming etc), online engagement with Sky digital (apps, website), customer service interactions, service quality and performance information and customer metrics Engage with key stakeholders (marketing, retention, service, finance) to understand business objectives and support these objectives through best use of advanced analytics approaches. Engage with our technology teams and data engineers to build solutions for managing customer treatments at Sky. Strengthen our internal data science capabilities by continuously innovating and driving new ideas, building technology partnerships with our vendors, training and developing our people and creating a world class data science team at Sky. What You'll Bring  Experience in at least one advanced analytical area including Predictive Modelling, Optimisation, Clustering or NLP. Python programming for modelling and/or data analysis is essential Experience using SQL for data extraction, feature development etc. is essential Ability to quickly understand a business objective, problem solving to create an analytical solution and stakeholder communication A commercial outlook of the applications of data science to drive commercial value – everything we do drives value into the business. Experience in data engineering, data modelling for advanced analytics, data processing on cloud, model management and app deployment on cloud is highly desirable. The Rewards  There’s a reason people can’t stop talking about #LifeAtSky. Our great range of rewards really are something special, here are just a few:  Sky Q, for the TV you love all in one place A generous pension package Private healthcare Discounted mobile and broadband Where You'll Work  Our Osterley campus is a 10-minute walk from Syon Lane train station. Or you can hop on one of our free shuttle buses that run to and from Osterley, Chiswick Park, Gunnersbury, Acton Town and Ealing Broadway tube stations. There’s also plenty of parking, bike shelters and showers.  On campus you’ll find six subsidised restaurants and a Waitrose. You can keep in shape at our subsidised gym, catch the latest shows and movies at our cinema, get your car washed and even get pampered at our beauty salon.  Inclusion  Recognised as an ‘Inclusive Top 50 Employer’ and a ‘Times Top 50 Employer for Women’, we’re working hard to ensure we’re a truly inclusive place to work. This means we don’t just look at your CV. We’re more focused on who you are and the potential you’ll bring to Sky. We also know that everyone has a life outside work so we're happy to support you as much as we can with flexible shift patterns.  And we'll do everything we can to support you during your application. If you need us to make any adjustments to our recruitment process, speak to our recruitment team who will be happy to support you.  Why wait?  Apply now to build an amazing career and be part of a brilliant team. We can’t wait to hear from you.  To find out more about working with us, search #LifeAtSky on social media. A job you love to talk about.  Just so you know: if your application is successful, we’ll ask you to complete a criminal record check. And depending on the role you have applied for and the nature of any convictions you may have, we might have to withdraw the offer.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Marketing y publicidad, Servicios y tecnologías de la información, Software",62,Más de 10.001,False,,422,COMPANY_RECRUIT
7,2249862101,2020-11-07,Tinder,Data Scientist,"Los Angeles, CA, US","Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing. Tinder’s Analytics Team is looking for a Data Scientist with expertise in Analytics.  Our analytics team takes ownership of the decisions being made from our data – we develop a deep understanding of both the business and its data and establish close working relationships with all teams - including Product, Marketing, Engineering, and Finance – so that we can provide recommendations and make proposals regarding prioritization of initiatives, product launches, A/B tests, and company performance.  As a data scientist in this role, you will be a partner to the Analytics team, providing support for A/B test design and analysis as well as data-driven insights through ad-hoc analyses, presentations, and automated reports and dashboards. This role will require extensive experience with SQL, data wrangling, statistics, and A/B testing as well as the ability to work in cross-functional teams to drive actionable insights. Experience with user growth and acquisition across consumer products is a plus.  Responsibilities: Master and own the analytical understanding of customer behavior and business performance Build models to better understand the value and churn behavior of our usersFind the “story” in the data and communicate insights and opportunities with executive and other internal teamsPerform ongoing ad-hoc analyses to evaluate the efficiency of our marketing spend, building reporting infrastructure, and assisting in making budgeting recommendations to optimize growthIntegrate captured event data with other sources of customer data, such as surveys, ad publishers and app store dataSupport reporting and business intelligence needs of the entire Marketing team  Skills Required: 3+ years of relevant experienceAbility to think objectively and interpret meaningful themes from quantitative and qualitative dataAbility to build constructive and effective relationships with a broad and diverse group of business partnersAbility to execute on complex analytics projects where you have to determine salient questions in a complex ecosystem and present action-oriented conclusionsProficiency with SQL requiredScripting skills, preferably in Python. Strong Python/NumPy/PANDAS skills a plusKnowledge of statistics, specifically experimental design and analysisProficiency in Microsoft Excel and Microsoft PowerPointFamiliarity with common KPIs, metrics, and growth experiments  As part of our team, you’ll enjoy:   The hustle of a startup with the impact of a global business Tremendous opportunity to seek some of the industry’s most exciting problems Working with an outstanding team of creative, fun and highly motivated people Comprehensive health coverage, competitive salary, and 401(k) match  At Tinder, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products, and our community. Tinder is proud to be an equal opportunity workplace.",Sin experiencia,Jornada completa,"Ingeniería, Tecnología de la información","Servicios y tecnologías de la información, Software, Internet",10,201-500,False,,62,ACTIVELY_HIRING_COMPANY
8,2243988852,2020-11-06,PayPal,Data Scientist 1,"San Jose, CA, US","Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.  Job Description Summary: This role will be responsible to design and build state-of-art solutions for merchant portfolio modeling.  Job Description: The ideal candidate should be:  A strong problem solver, equipped with strong mathematical, analytical, and programming skills, and being able to connect complex business problem with viable technical solutions. A fast learner to quickly ramp up and explore in new domains, identify problems/opportunities and come up with solutions. A versatile modeler to take on end to end solution building, including data analysis, data processing, model experiment, implementation and live support.   Must have:  Proficient coding capability in at least one of the major programming languages such as Python, R, Java.Proficient in data analysis, model building and data mining.Ability to work effectively in a fast-paced, changing environment.Highly organized and detail oriented, with a strong ability to coordinate and track multiple deliverables, tasks and dependencies.Ability to work independently and proficiently. Accountable for own results, and is seen as clear subject matter expert within group / geography.Ability to identify typical problems and issues during normal course of work and take proactive actions to solve them with minimum guidance.Demonstrates excellent verbal and written communication skills on a broad set of technical topics.Asks open-ended questions and contribute to brainstorming and design discussions.Communicates effectively on general business issues.   Nice to have:  Experience in Big Data such as MapReduce, PIG, HIVE, Spark is a big plus.Experience in natural language processing, text mining, web intelligence would be very helpful.   Basic Qualifications:  Master or PhD degree in machine learning, computer science, statistics, or similar with 1+ year relevant experience.   We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.  PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.  REQ ID R0061060",No corresponde,Jornada completa,"Ingeniería, Tecnología de la información","Software, Servicios financieros, Internet",79,Más de 10.001,False,,347,COMPANY_RECRUIT
9,2224711209,2020-10-29,Kantar,Junior Data Scientist,"Lisboa, Portugal","Kantar is the world’s leading data, insights and consulting company. We understand more about how people think, feel, shop, share, vote and view than anyone else. Combining our expertise in human understanding with advanced technologies, Kantar’s 30,000 people help the world’s leading organisations succeed and grow.     Kantar Worldpanel Division recruits a Data Scientist to design new solutions through leading edge analytical approaches to improve the quality and efficiency of Kantar Worldpanel services globally. The ideal candidate will have a passion for discovering patterns from large data sets and will work with internal stakeholders to understand the business problems. This is an opportunity for a Data Scientist – with none to two years of experience – willing to integrate an advanced data science team working in a dynamic environment on international projects.     RESPONSIBILITIES  Perform statistical analysis to identify new relevant indicators and business trends: Apply statistical analysis to a variety of data to define data driven solutions to business challenges: Ensure data quality throughout all stages of acquisition and processing: data sourcing & collection, ground truth generation, normalization, transformation etc.: Collaborate in building predictive models for targeted solutions, working with engineers to develop efficient data querying and modeling infrastructure: Create data visualizations and communicate the analyses and findings through documents and presentations: Validate optimal consumer panel weighting to enhance data stability and accuracy.     CAPABILITIES  Graduated from a Scientific and/ or a Master's program in Statistics, Mathematics, Applied Mathematics or Data Science: Interest in statistical computing and modelling: Knowledge of Probability and Statistics (Distributions, Statistical Inference, Hypothesis testing, Bayesian framework, etc.): Team player, likes to work with others to get a clear understanding of the context around the data: Strong communication and interpersonal skills: Fluent in English: Knowledge of SQL, Java, Python or R are a plus: No previous professional experience needed.     JOIN US  At Kantar we have an integrated way of rewarding our people based around a simple, clear and consistent set of principles. Our approach helps to ensure we are market competitive and to support a pay for performance culture, where your reward and career progression opportunities are linked to what you deliver.",Sin experiencia,Jornada completa,"Análisis, Tecnología de la información",Investigación de mercado,162,Más de 10.001,False,,706,ACTIVELY_HIRING_COMPANY
